#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.67;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.61;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.72;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.58;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
299.78;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.64;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.82;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.85;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.87;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.97;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.71;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.67;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.64;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.95;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/2,Rest/1
1019.9;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1079.8;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.65;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.87;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1260;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.85;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1379.77;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1439.87;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
1499.64;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.9;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1619.9;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1679.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.89;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1859.88;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1919.63;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1979.67;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2039.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2099.82;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2159.75;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2219.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2279.67;2;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
2339.78;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2399.95;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
2459.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2519.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2579.91;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2639.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2699.73;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2760;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2819.73;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2879.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2939.97;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2999.7;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
3059.97;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
3119.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
3179.75;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
3239.8;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
3299.61;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
3359.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
3419.81;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
3479.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
3539.95;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
3599.81;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
3659.86;0;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/1,Rest/0
