#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.67;0;0;0;37.27;0;37.27;0;0.67
119.61;1;0;0;36.24;0;36.26;0;0.72
179.72;3;0;0;52.11;0;52.12;0;0.68
239.58;3;0;0;53.26;0;53.27;0;0.64
299.78;3;0;0;59.37;0;59.38;0;0.57
359.99;4;0;0;98.28;0;98.29;0;0.57
419.64;4;0;0;98.98;0;98.98;0;0.65
479.82;4;0;0;115.19;0;115.2;0;0.58
539.85;6;0;0;107.64;0;107.64;0;0.54
599.87;7;0;0;133.67;0;133.67;0;0.59
659.97;7;0;0;152.67;0;152.67;0;0.53
719.79;7;0;0;125.26;0;125.26;0;0.52
779.71;7;0;0;167.68;0;167.69;0;0.46
839.67;8;0;0;44.06;0;44.06;0;0.53
899.64;9;0;0;57.64;0;57.66;0;0.45
959.95;11;0;0;35.84;0;35.85;0;0.4
1019.9;11;0;0;45.54;0;45.54;0;0.48
1079.8;13;0;0;35.24;0;35.25;0;0.52
1139.65;15;0;0;66.01;0;66.02;0;0.59
1199.87;15;0;0;81.86;0;81.87;0;0.49
1260;15;0;0;102.03;0;102.03;0;0.47
1319.85;15;0;0;129.07;0;129.07;0;0.49
1379.77;16;0;0;147.38;0;147.39;0;0.44
1439.87;16;0;0;131.9;0;131.92;0;0.46
1499.64;18;0;0;39.04;0;39.04;0;0.48
1559.9;18;0;0;69.3;0;69.3;0;0.5
1619.9;18;0;0;34.38;0;34.39;0;0.53
1679.99;18;0;0;51.22;0;51.22;0;0.59
1739.89;18;0;0;43.37;0;43.37;0;0.57
1799.99;19;0;0;60.18;0;60.19;0;0.5
1859.88;19;0;0;116.45;0;116.45;0;0.47
1919.63;23;0;0;126.37;0;126.37;0;0.52
1979.67;23;0;0;104.53;0;104.53;0;0.55
2039.97;23;0;0;128.31;0;128.31;0;0.52
2099.82;23;0;0;110.41;0;110.42;0;0.48
2159.75;24;0;0;40.07;0;40.08;0;0.48
2219.97;25;0;0;57.58;0;57.58;0;0.51
2279.67;25;0;0;118.57;0;118.58;0;0.53
2339.78;25;0;0;31.34;0;31.34;0;0.52
2399.95;25;0;0;74.32;0;74.33;0;0.57
2459.97;25;0;0;69.86;0;69.88;0;0.68
2519.94;27;0;0;22.05;0;22.05;0;0.51
2579.91;28;0;0;59.19;0;59.2;0;0.45
