#TimeStamp;Bot;Pod;OutputStation
46.38;4;91;0
63.53;1;8;0
75.63;5;124;1
78.88;0;136;0
85.58;5;124;1
88.96;0;136;0
95.77;3;88;1
99.06;0;136;0
105.6;2;93;1
110.34;5;124;0
120.42;5;124;0
130.33;3;88;0
140.42;4;164;0
150.46;2;93;0
155.36;3;88;1
165.75;1;119;1
175.56;1;119;1
185.75;2;93;1
185.79;3;88;0
195.43;2;93;1
195.79;3;88;0
205.79;5;8;0
216.07;5;8;0
220.01;3;88;1
225.81;5;8;0
236.07;0;5;0
237.82;4;84;1
246.15;0;5;0
247.93;4;84;1
256.57;2;93;0
266.49;2;93;0
270.19;0;5;1
276.34;3;88;0
286.31;1;27;0
291.44;2;93;1
296.74;1;27;0
301.41;3;88;1
306.85;4;84;0
317;0;5;0
322.51;1;27;1
326.81;2;93;0
332.66;1;27;1
337.09;2;93;0
342.9;1;27;1
347.32;3;88;0
352.9;1;27;1
362.66;1;27;1
372.75;1;27;1
382.94;1;27;1
392.62;4;84;1
402.77;5;72;1
412.93;0;5;1
416.27;4;84;0
422.98;0;5;1
430.76;5;72;0
433.23;2;93;1
440.88;5;72;0
443.39;2;93;1
450.87;5;72;0
453.29;2;93;1
460.96;0;5;0
463.34;2;93;1
473.22;3;88;1
483.27;4;84;1
486.94;2;93;0
493.43;4;84;1
496.79;2;93;0
503.74;1;108;1
506.83;3;88;0
513.78;5;72;1
518.03;4;84;0
523.97;5;72;1
530.27;1;108;0
534.02;5;72;1
540.35;1;108;0
544.23;5;72;1
550.77;1;108;0
554.23;0;5;1
564.22;0;5;1
567.11;5;72;0
574.32;0;5;1
577.27;5;72;0
584.41;0;5;1
587.03;5;72;0
594.53;0;5;1
597.24;5;72;0
604.78;0;5;1
614.64;3;88;1
624.49;2;93;1
630.29;0;5;0
634.83;2;93;1
640.17;0;5;0
645.09;1;108;1
650.31;0;5;0
655.25;4;33;1
660.48;0;5;0
665.6;5;72;1
670.52;3;88;0
675.6;5;72;1
680.91;3;88;0
685.74;0;5;1
690.94;2;93;0
701.37;2;93;0
707.65;3;88;1
711.78;2;93;0
