% time handles
0 0
10 0
20 1
30 1
40 2
50 4
60 6
70 8
80 8
90 9
100 9
110 8
120 7
130 7
140 7
150 7
160 8
170 9
180 9
190 8
200 9
210 10
220 10
230 9
240 9
250 10
260 9
270 9
280 9
290 9
300 10
310 10
320 11
330 10
340 9
350 9
360 8
370 7
380 6
390 7
400 7
410 8
420 9
430 10
440 11
450 10
460 11
470 11
480 11
490 11
500 10
510 11
520 11
530 11
540 11
550 11
560 12
570 12
580 11
590 10
600 9
610 9
620 9
630 9
640 10
650 11
660 12
670 11
680 11
690 11
700 10
710 9
720 9
730 10
740 10
750 9
760 9
770 9
780 8
790 7
800 6
810 7
820 8
830 9
840 9
850 9
860 9
870 9
880 9
890 9
900 9
910 9
920 9
930 9
940 8
950 6
960 6
970 6
980 7
990 6
1000 6
1010 8
1020 9
1030 9
1040 9
1050 9
1060 10
1070 9
1080 9
1090 10
1100 9
1110 9
1120 9
1130 10
1140 10
1150 10
1160 10
1170 10
1180 10
1190 10
1200 10
1210 10
1220 10
1230 10
1240 9
1250 9
1260 9
1270 9
1280 10
1290 10
1300 10
1310 10
1320 9
1330 8
1340 7
1350 7
1360 8
1370 8
1380 8
1390 8
1400 7
1410 6
1420 5
1430 3
1440 2
1450 2
1460 2
1470 2
1480 2
1490 3
1500 4
1510 5
1520 7
1530 8
1540 8
1550 8
1560 8
1570 7
1580 5
1590 5
1600 5
1610 5
1620 4
1630 4
1640 5
1650 6
1660 7
1670 8
1680 10
1690 11
1700 12
1710 12
1720 12
1730 12
1740 11
1750 11
1760 11
1770 11
1780 11
1790 10
1800 10
1810 10
1820 9
1830 8
1840 7
1850 7
1860 7
1870 7
1880 8
1890 9
1900 9
1910 9
1920 10
1930 10
1940 9
1950 8
1960 8
1970 8
1980 7
1990 7
2000 8
2010 9
2020 10
2030 10
2040 10
2050 10
2060 10
2070 10
2080 10
2090 11
2100 11
2110 9
2120 9
2130 9
2140 8
2150 6
2160 7
2170 8
2180 8
2190 8
2200 8
2210 9
2220 8
2230 9
2240 9
2250 9
2260 9
2270 9
2280 8
2290 7
2300 6
2310 5
2320 5
2330 6
2340 8
2350 9
2360 10
2370 11
2380 12
2390 12
2400 11
2410 10
2420 9
2430 9
2440 8
2450 8
2460 7
2470 6
2480 5
2490 4
2500 4
2510 3
2520 4
2530 5
2540 7
2550 8
2560 9
2570 9
2580 9
2590 9
2600 8
2610 7
2620 7
2630 7
2640 8
2650 9
2660 10
2670 11
2680 11
2690 11
2700 11
2710 11
2720 11
2730 10
2740 9
2750 8
2760 8
2770 8
2780 8
2790 9
2800 10
2810 12
2820 11
2830 10
2840 9
2850 9
2860 8
2870 7
2880 8
2890 9
2900 10
2910 10
2920 11
2930 12
2940 12
2950 12
2960 12
2970 12
2980 11
2990 10
3000 9
3010 8
3020 6
3030 4
3040 3
3050 3
3060 2
3070 1
3080 3
3090 5
3100 7
3110 8
3120 10
3130 11
3140 11
3150 11
3160 11
3170 11
3180 11
3190 12
3200 12
3210 12
3220 12
3230 11
3240 11
3250 10
3260 8
3270 8
3280 7
3290 6
3300 6
3310 6
3320 7
3330 7
3340 8
3350 10
3360 10
3370 10
3380 10
3390 8
3400 7
3410 6
3420 5
3430 4
3440 4
3450 6
3460 6
3470 6
3480 7
3490 9
3500 10
3510 9
3520 11
3530 11
3540 12
3550 10
3560 10
3570 11
3580 10
3590 11
3600 10
3610 12
3620 11
3630 9
3640 7
3650 6
3660 4
3670 2
3680 2
3690 2
