#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
88.88;0;80.5;80.5;-Infinity
115.8;1;79.37;79.37;-Infinity
150.23;0;78.07;78.02;-Infinity
160.66;0;79.69;79.69;-Infinity
230.26;1;155.81;155.81;-Infinity
246.1;0;140.27;140.23;-Infinity
247.83;1;107.21;107.2;-Infinity
256.37;0;58.69;58.69;-Infinity
258.28;1;111.82;111.82;-Infinity
296.69;0;126.04;126.04;-Infinity
332.37;1;114.7;114.7;-Infinity
337.04;0;127.42;127.42;-Infinity
422.62;1;173.96;173.95;-Infinity
426.41;0;205.68;205.68;-Infinity
493.17;1;219.53;219.53;-Infinity
513.5;1;287.87;287.87;-Infinity
523.93;1;187.97;187.93;-Infinity
527.77;0;228.68;228.68;-Infinity
540;0;311.77;311.77;-Infinity
550.68;0;164.21;164.21;-Infinity
584.36;1;126.89;126.89;-Infinity
634.73;1;225.17;225.17;-Infinity
655.02;1;235.93;235.93;-Infinity
665.31;1;176.07;176.07;-Infinity
670.28;0;233.22;233.22;-Infinity
680.86;0;291.54;291.51;-Infinity
701.32;0;289.83;289.83;-Infinity
717.29;1;220.97;220.97;-Infinity
728.07;1;103.21;103.2;-Infinity
751.77;0;259.58;259.58;-Infinity
765.53;1;109.73;109.73;-Infinity
775.91;1;240.64;240.64;-Infinity
802.23;0;220.6;220.6;-Infinity
812.48;0;345.43;345.43;-Infinity
822.71;0;133.95;133.95;-Infinity
842.96;0;132.29;132.29;-Infinity
895.67;1;58.62;58.62;-Infinity
900.22;0;73.92;73.92;-Infinity
926.23;1;117.79;117.79;-Infinity
940;0;94.89;94.86;-Infinity
960.64;0;72.57;72.53;-Infinity
1004.08;1;79.38;79.38;-Infinity
1030.59;0;71.06;71.06;-Infinity
1050.85;0;80.54;80.54;-Infinity
1094.9;1;101.64;101.64;-Infinity
1113.74;0;84.1;84.1;-Infinity
1143.94;0;91.84;91.84;-Infinity
1157.66;1;130.4;130.4;-Infinity
1224.51;0;99.88;99.88;-Infinity
1237.6;1;169.52;169.48;-Infinity
1297.97;1;128.03;128.03;-Infinity
1308.07;1;127.7;127.7;-Infinity
1318.65;1;61.17;61.17;-Infinity
1331.12;0;265.38;265.36;-Infinity
1356.9;1;255.09;255.08;-Infinity
1360.94;0;105.97;105.97;-Infinity
1379.13;1;88.51;88.51;-Infinity
1397.44;0;321.67;321.67;-Infinity
1407.61;0;249.95;249.95;-Infinity
1429.62;1;117.06;117.06;-Infinity
1452.25;1;103.46;103.44;-Infinity
1489.39;0;222.26;222.26;-Infinity
1562.9;1;102.3;102.3;-Infinity
1609.65;0;99.61;99.61;-Infinity
1625.3;0;124.12;124.12;-Infinity
1693.38;1;88.49;88.48;-Infinity
1717.7;0;101.21;101.21;-Infinity
1723.8;1;104.29;104.27;-Infinity
1747.99;0;114.58;114.58;-Infinity
1768.13;0;98.59;98.59;-Infinity
1780.46;1;95.49;95.49;-Infinity
1828.3;0;113.92;113.92;-Infinity
1899.04;0;159.14;159.14;-Infinity
1909.46;0;144.11;144.11;-Infinity
1939.36;0;188.21;188.21;-Infinity
1953.14;1;249.58;249.58;-Infinity
1964.01;1;234.11;234.11;-Infinity
2034.02;1;290.04;290.01;-Infinity
2039.39;0;167.1;167.1;-Infinity
2059.96;0;289.76;289.76;-Infinity
2081.74;0;154.56;154.56;-Infinity
2094.24;1;227.82;227.82;-Infinity
2117.65;0;120.89;120.89;-Infinity
2124.77;1;83.87;83.87;-Infinity
2128.04;0;219.44;219.44;-Infinity
2135.4;1;201.11;201.11;-Infinity
2152.37;1;174.18;174.18;-Infinity
2191.27;1;48.32;48.32;-Infinity
2202.07;0;124.4;124.37;-Infinity
2222.57;0;95.09;95.09;-Infinity
2265.48;1;84.63;84.63;-Infinity
2272.75;0;90.01;90.01;-Infinity
2283.02;0;152.45;152.45;-Infinity
2295.77;1;134.12;134.1;-Infinity
2305.72;1;114.66;114.66;-Infinity
2393.8;1;52.11;52.11;-Infinity
2395.72;0;87.67;87.64;-Infinity
2406.11;0;81.45;81.45;-Infinity
2419.01;0;131.35;131.35;-Infinity
2455.34;1;140.09;140.09;-Infinity
2469.88;1;163.3;163.3;-Infinity
