#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.37;0;1
9.86;0;1
10.99;0;1
12.07;0;1
13.32;0;2
14.7;0;1
15.99;0;2
20.16;0;1
21.49;0;1
22.49;0;2
23.53;0;1
24.57;0;1
25.78;0;1
29.28;0;1
32.53;0;1
36.03;0;1
37.33;0;1
39.41;0;1
40.62;0;1
41.72;0;1
42.97;0;2
44.87;0;1
47.14;0;2
48.23;0;1
49.74;0;1
50.83;0;1
52.16;0;3
54.38;0;1
55.46;0;1
59;0;1
61.58;0;1
62.86;0;1
64.26;0;2
67.21;0;1
68.38;0;2
69.47;0;1
70.83;0;2
72.21;0;1
73.63;0;1
74.96;0;3
76.54;0;1
79.38;0;1
82.46;0;1
85.83;0;2
87.13;0;1
88.46;0;1
89.46;0;1
90.63;0;1
92.59;0;1
95.3;0;1
96.39;0;1
99.06;0;2
100.81;0;1
102.11;0;1
103.2;0;1
104.51;0;1
105.56;0;1
106.65;0;1
107.83;0;1
108.83;0;1
109.88;0;1
111.06;0;1
113.96;0;1
115.13;0;2
116.55;0;1
117.59;0;1
120.71;0;1
123.92;0;2
125.37;0;1
126.57;0;1
129.86;0;1
133.46;0;1
134.55;0;2
137.96;0;1
139.05;0;1
140.42;0;1
143.41;0;1
144.5;0;2
146.05;0;1
147.21;0;2
148.3;0;1
150.89;0;1
152.71;0;1
154.69;0;1
158.64;0;1
159.95;0;2
160.95;0;4
164.17;0;1
165.58;0;2
166.78;0;1
168.05;0;1
169.26;0;2
170.35;0;1
171.39;0;1
173.83;0;1
175.19;0;2
176.46;0;1
177.86;0;1
179.68;0;1
180.69;0;1
184.24;0;1
186.91;0;1
188.79;0;1
190.14;0;3
191.26;0;1
192.79;0;1
194.76;0;1
196.96;0;1
198.52;0;1
199.59;0;2
201.17;0;1
202.26;0;1
205.05;0;1
206.08;0;1
207.71;0;1
209.63;0;1
211.37;0;1
212.46;0;2
219.12;0;1
220.3;0;2
221.74;0;1
223.93;0;1
225.14;0;1
226.53;0;1
229.59;0;2
232.07;0;1
234.43;0;1
235.77;0;1
237.93;0;1
240;0;1
241.12;0;1
242.21;0;1
244.6;0;1
248.62;0;1
250.45;0;1
251.98;0;1
254.1;0;1
255.7;0;1
256.77;0;1
257.81;0;1
259.86;0;1
261.77;0;1
262.95;0;2
264.31;0;1
265.83;0;1
269.14;0;1
270.41;0;1
274.04;0;1
275.25;0;1
279.94;0;2
281.17;0;1
284.05;0;1
285.22;0;2
286.31;0;1
287.89;0;1
288.93;0;1
290.31;0;1
291.39;0;1
292.48;0;1
295.13;0;1
296.38;0;1
300.75;0;1
301.93;0;1
305.13;0;1
306.38;0;1
307.43;0;1
309.87;0;1
311.1;0;2
312.3;0;1
315.2;0;1
316.33;0;2
317.46;0;1
319.58;0;1
320.66;0;1
322.05;0;1
323.17;0;1
325.49;0;1
326.72;0;1
327.97;0;1
330.8;0;1
332.33;0;1
336.58;0;1
341.39;0;1
346.23;0;2
351.39;0;1
354.4;0;1
356.23;0;2
357.32;0;1
359.99;0;1
362.66;0;1
364.4;0;1
365.75;0;1
367.04;0;2
368.18;0;1
369.71;0;1
371.66;0;1
374.59;0;1
376.58;0;1
377.68;0;1
383.18;0;1
386.48;0;1
387.76;0;1
396.51;0;1
402.01;0;1
403.21;0;1
405.88;0;1
406.97;0;2
411.34;0;1
412.47;0;1
415;0;1
416.27;0;1
417.48;0;1
420.22;0;1
421.53;0;1
424.46;0;1
