#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;35.32;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.67;36.77;0.23;PP/0.02,TA/0.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.61;36.95;0.26;PP/0.02,TA/0.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.72;36.95;0.31;PP/0.05,TA/0.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.58;37.29;0.33;PP/0.06,TA/0.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
299.78;37.34;0.34;PP/0.06,TA/0.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.99;39;0.36;PP/0.06,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.64;39;0.36;PP/0.06,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.82;39;0.37;PP/0.08,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.85;37.06;0.39;PP/0.08,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
599.87;37.06;0.41;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
659.97;37.06;0.42;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
719.79;37.06;0.42;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
779.71;37.21;0.44;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
839.67;37.21;0.45;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
899.64;37.29;0.47;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
959.95;37.36;0.48;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1019.9;37.36;0.52;PP/0.09,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1079.8;37.42;0.53;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1139.65;37.48;0.55;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1199.87;37.48;0.56;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1260;37.48;0.58;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1319.85;37.48;0.6;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1379.77;39.38;0.62;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1439.87;39.38;0.64;PP/0.11,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1499.64;39.39;0.66;PP/0.13,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1559.9;39.39;0.68;PP/0.13,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1619.9;39.39;0.7;PP/0.13,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1679.99;39.39;0.72;PP/0.14,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1739.89;39.39;0.73;PP/0.14,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1799.99;39.39;0.75;PP/0.14,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1859.88;37.53;0.77;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1919.63;37.53;0.79;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
1979.67;37.53;0.8;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2039.97;37.53;0.81;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2099.82;37.63;0.83;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2159.75;37.63;0.84;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2219.97;37.63;0.86;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2279.67;37.63;0.88;PP/0.16,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2339.78;37.72;0.91;PP/0.17,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2399.95;37.72;0.92;PP/0.17,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2459.97;37.89;0.94;PP/0.17,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2519.94;37.89;0.95;PP/0.17,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2579.91;37.94;0.98;PP/0.17,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2639.88;37.95;1;PP/0.19,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2699.73;37.95;1.02;PP/0.19,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2760;37.96;1.03;PP/0.19,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2819.73;37.96;1.05;PP/0.19,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2879.96;37.96;1.06;PP/0.19,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2939.97;37.97;1.08;PP/0.2,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
2999.7;37.97;1.09;PP/0.2,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
3059.97;38.07;1.11;PP/0.2,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3119.95;39.82;1.14;PP/0.2,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3179.75;37.87;1.16;PP/0.2,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3239.8;37.87;1.17;PP/0.22,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3299.61;37.87;1.2;PP/0.24,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3359.96;37.99;1.22;PP/0.24,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3419.81;38.91;1.24;PP/0.25,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
3479.68;38.91;1.25;PP/0.25,TA/0.06,IS/0,PS/0,RB/0,OB/0.02,RP/0
3539.95;38.91;1.27;PP/0.27,TA/0.06,IS/0,PS/0,RB/0,OB/0.02,RP/0
3599.81;38.91;1.28;PP/0.27,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
3659.86;38.91;1.3;PP/0.27,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
3720;38.91;1.31;PP/0.27,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
3779.83;38.05;1.34;PP/0.27,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
3839.97;38.05;1.36;PP/0.27,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
3899.94;38.05;1.39;PP/0.29,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
3959.91;38.2;1.41;PP/0.29,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4019.85;38.2;1.42;PP/0.29,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4079.83;38.79;1.44;PP/0.29,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4139.61;38.18;1.47;PP/0.32,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4199.97;38.18;1.48;PP/0.32,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4259.61;38.29;1.5;PP/0.32,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4319.86;38.43;1.52;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4379.91;38.46;1.53;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4439.96;38.46;1.55;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4499.91;38.48;1.56;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4559.96;38.49;1.58;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4619.67;38.47;1.6;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4679.98;38.69;1.61;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4739.83;38.69;1.64;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4799.99;38.69;1.66;PP/0.33,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4859.81;39.05;1.69;PP/0.36,TA/0.09,IS/0,PS/0,RB/0,OB/0.02,RP/0
4919.78;38.26;1.7;PP/0.36,TA/0.11,IS/0,PS/0,RB/0,OB/0.02,RP/0
4979.78;38.28;1.73;PP/0.36,TA/0.14,IS/0,PS/0,RB/0,OB/0.02,RP/0
5039.85;38.3;1.77;PP/0.36,TA/0.17,IS/0,PS/0,RB/0,OB/0.02,RP/0
5099.65;38.33;1.8;PP/0.36,TA/0.2,IS/0,PS/0,RB/0,OB/0.02,RP/0
5159.69;38.36;1.81;PP/0.36,TA/0.22,IS/0,PS/0,RB/0,OB/0.02,RP/0
5219.93;38.39;1.84;PP/0.36,TA/0.25,IS/0,PS/0,RB/0,OB/0.02,RP/0
5279.64;38.41;1.88;PP/0.36,TA/0.28,IS/0,PS/0,RB/0,OB/0.02,RP/0
5339.98;38.44;1.89;PP/0.36,TA/0.29,IS/0,PS/0,RB/0,OB/0.02,RP/0
5399.59;38.47;1.92;PP/0.36,TA/0.33,IS/0,PS/0,RB/0,OB/0.02,RP/0
5459.84;38.31;1.95;PP/0.36,TA/0.36,IS/0,PS/0,RB/0,OB/0.02,RP/0
5519.88;38.34;1.97;PP/0.36,TA/0.36,IS/0,PS/0,RB/0,OB/0.02,RP/0
5579.79;38.36;2;PP/0.36,TA/0.39,IS/0,PS/0,RB/0,OB/0.02,RP/0
5639.62;38.39;2.03;PP/0.36,TA/0.42,IS/0,PS/0,RB/0,OB/0.02,RP/0
5699.74;38.42;2.05;PP/0.36,TA/0.44,IS/0,PS/0,RB/0,OB/0.02,RP/0
5759.99;38.45;2.08;PP/0.36,TA/0.47,IS/0,PS/0,RB/0,OB/0.02,RP/0
5819.96;38.47;2.11;PP/0.36,TA/0.5,IS/0,PS/0,RB/0,OB/0.02,RP/0
5879.94;38.5;2.12;PP/0.36,TA/0.51,IS/0,PS/0,RB/0,OB/0.02,RP/0
5939.77;38.52;2.16;PP/0.36,TA/0.54,IS/0,PS/0,RB/0,OB/0.02,RP/0
5999.94;38.55;2.17;PP/0.36,TA/0.56,IS/0,PS/0,RB/0,OB/0.02,RP/0
6059.72;38.59;2.2;PP/0.36,TA/0.59,IS/0,PS/0,RB/0,OB/0.02,RP/0
6119.97;38.6;2.24;PP/0.36,TA/0.61,IS/0,PS/0,RB/0,OB/0.02,RP/0
6179.67;38.6;2.26;PP/0.36,TA/0.63,IS/0,PS/0,RB/0,OB/0.02,RP/0
6239.92;38.61;2.28;PP/0.36,TA/0.64,IS/0,PS/0,RB/0,OB/0.02,RP/0
6299.89;38.61;2.3;PP/0.36,TA/0.66,IS/0,PS/0,RB/0,OB/0.02,RP/0
6359.87;38.61;2.33;PP/0.36,TA/0.69,IS/0,PS/0,RB/0,OB/0.02,RP/0
6419.7;38.61;2.34;PP/0.36,TA/0.7,IS/0,PS/0,RB/0,OB/0.02,RP/0
6479.98;38.62;2.38;PP/0.36,TA/0.73,IS/0,PS/0,RB/0,OB/0.02,RP/0
6539.65;38.65;2.39;PP/0.36,TA/0.73,IS/0,PS/0,RB/0,OB/0.02,RP/0
6599.9;38.65;2.47;PP/0.36,TA/0.8,IS/0,PS/0,RB/0,OB/0.02,RP/0
6659.61;38.67;2.53;PP/0.36,TA/0.86,IS/0,PS/0,RB/0,OB/0.02,RP/0
6719.85;38.67;2.55;PP/0.36,TA/0.86,IS/0,PS/0,RB/0,OB/0.02,RP/0
6779.98;38.68;2.61;PP/0.36,TA/0.92,IS/0,PS/0,RB/0,OB/0.02,RP/0
6839.73;38.71;2.62;PP/0.36,TA/0.94,IS/0,PS/0,RB/0,OB/0.02,RP/0
6899.98;38.71;2.69;PP/0.36,TA/0.98,IS/0,PS/0,RB/0,OB/0.02,RP/0
6959.89;38.71;2.71;PP/0.36,TA/0.98,IS/0,PS/0,RB/0,OB/0.02,RP/0
7019.93;38.72;2.74;PP/0.36,TA/1.01,IS/0,PS/0,RB/0,OB/0.02,RP/0
7079.75;38.72;2.77;PP/0.36,TA/1.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
7139.88;38.73;2.78;PP/0.36,TA/1.06,IS/0,PS/0,RB/0,OB/0.02,RP/0
7199.71;38.73;2.81;PP/0.36,TA/1.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
