#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.67;0;0;0;2;0/59.67;0/49.86,1/59.67;0/0;0/59.67,1/59.67;0/0;0/0,1/0;0/0;0/2,1/3;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/1,1/0
119.61;0;5;0;2;0/119.61;0/61.31,1/80.18;0/0;0/119.61,1/119.61;0/0;0/3,1/2;0/0;0/7,1/3;0/0;0/0,1/0;0/0;0/3,1/2;0/0;0/6,1/4
179.72;0;10;0;2;0/179.72;0/81.21,1/116.61;0/0;0/179.72,1/179.72;0/0;0/3,1/3;0/0;0/6,1/5;0/0;0/0,1/0;0/0;0/6,1/4;0/0;0/10,1/7
239.58;0;16;0;2;0/239.58;0/88.55,1/139.28;0/0;0/239.58,1/239.58;0/0;0/11,1/8;0/0;0/15,1/8;0/0;0/0,1/0;0/0;0/9,1/7;0/0;0/16,1/11
299.78;0;21;0;2;0/299.78;0/90.7,1/163.42;0/0;0/299.78,1/299.78;0/0;0/10,1/12;0/0;0/13,1/14;0/0;0/0,1/0;0/0;0/12,1/9;0/0;0/22,1/14
359.99;0;27;0;2;0/359.99;0/94.42,1/175.72;0/0;0/359.99,1/359.99;0/0;0/8,1/9;0/0;0/8,1/15;0/0;0/0,1/0;0/0;0/16,1/11;0/0;0/27,1/19
419.64;0;31;0;2;0/419.64;0/151.03,1/176.89;0/0;0/419.64,1/419.64;0/0;0/17,1/11;0/0;0/18,1/15;0/0;0/0,1/0;0/0;0/17,1/14;0/0;0/28,1/25
479.82;0;35;0;2;0/479.82;0/164.84,1/178.34;0/0;0/479.82,1/479.82;0/0;0/18,1/7;0/0;0/20,1/11;0/0;0/0,1/0;0/0;0/19,1/16;0/0;0/32,1/31
539.85;0;42;0;2;0/539.85;0/176.49,1/180.4;0/0;0/539.85,1/539.85;0/0;0/17,1/10;0/0;0/18,1/14;0/0;0/0,1/0;0/0;0/23,1/19;0/0;0/37,1/37
599.87;0;44;0;2;0/599.87;0/184.69,1/181.72;0/0;0/599.87,1/599.87;0/0;0/15,1/3;0/0;0/15,1/8;0/0;0/0,1/0;0/0;0/24,1/20;0/0;0/43,1/43
659.97;0;49;0;2;0/659.97;0/208.59,1/183.55;0/0;0/659.97,1/659.97;0/0;0/7,1/7;0/0;0/12,1/8;0/0;0/0,1/0;0/0;0/25,1/24;0/0;0/46,1/49
719.79;0;54;0;2;0/719.79;0/210.6,1/197.49;0/0;0/719.79,1/719.79;0/0;0/7,1/3;0/0;0/12,1/3;0/0;0/0,1/0;0/0;0/27,1/27;0/0;0/52,1/54
779.71;0;58;0;2;0/779.71;0/212.05,1/219.87;0/0;0/779.71,1/779.71;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/29,1/29;0/0;0/58,1/57
839.67;0;64;0;2;0/839.67;0/213.64,1/276.08;0/0;0/839.67,1/839.67;0/0;0/2,1/3;0/0;0/3,1/8;0/0;0/0,1/0;0/0;0/34,1/30;0/0;0/64,1/58
899.64;0;68;0;2;0/899.64;0/241.42,1/277.66;0/0;0/899.64,1/899.64;0/0;0/2,1/0;0/0;0/6,1/2;0/0;0/0,1/0;0/0;0/35,1/33;0/0;0/67,1/64
959.95;0;75;0;2;0/959.95;0/242.82,1/305.28;0/0;0/959.95,1/959.95;0/0;0/3,1/0;0/0;0/3,1/2;0/0;0/0,1/0;0/0;0/39,1/36;0/0;0/73,1/67
1019.9;0;80;0;2;0/1019.9;0/273.41,1/332.33;0/0;0/1019.9,1/1019.9;0/0;0/0,1/4;0/0;0/3,1/5;0/0;0/0,1/0;0/0;0/42,1/38;0/0;0/76,1/70
1079.8;0;87;0;2;0/1079.8;0/293.08,1/348.86;0/0;0/1079.8,1/1079.8;0/0;0/12,1/5;0/0;0/14,1/8;0/0;0/0,1/0;0/0;0/45,1/42;0/0;0/80,1/75
1139.65;0;94;0;2;0/1139.65;0/308.28,1/364.65;0/0;0/1139.65,1/1139.65;0/0;0/8,1/5;0/0;0/12,1/7;0/0;0/0,1/0;0/0;0/49,1/45;0/0;0/85,1/79
1199.87;0;97;0;2;0/1199.87;0/309.74,1/385.6;0/0;0/1199.87,1/1199.87;0/0;0/6,1/7;0/0;0/9,1/9;0/0;0/0,1/0;0/0;0/50,1/47;0/0;0/91,1/83
1260;0;103;0;2;0/1260;0/326.3,1/394.3;0/0;0/1260,1/1260;0/0;0/6,1/4;0/0;0/8,1/6;0/0;0/0,1/0;0/0;0/53,1/50;0/0;0/95,1/89
1319.85;0;108;0;2;0/1319.85;0/337.79,1/396.99;0/0;0/1319.85,1/1319.85;0/0;0/3,1/5;0/0;0/6,1/6;0/0;0/0,1/0;0/0;0/56,1/52;0/0;0/100,1/94
1379.77;0;113;0;2;0/1379.77;0/367.18,1/427.27;0/0;0/1379.77,1/1379.77;0/0;0/2,1/2;0/0;0/3,1/5;0/0;0/0,1/0;0/0;0/58,1/55;0/0;0/103,1/98
1439.87;0;117;0;2;0/1439.87;0/407.58,1/438.5;0/0;0/1439.87,1/1439.87;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/0,1/0;0/0;0/59,1/58;0/0;0/105,1/102
1499.64;0;119;0;2;0/1499.64;0/457.54,1/488.47;0/0;0/1499.64,1/1499.64;0/0;0/0,1/1;0/0;0/0,1/6;0/0;0/0,1/0;0/0;0/60,1/59;0/0;0/106,1/103
1559.9;0;125;0;2;0/1559.9;0/498.39,1/493.06;0/0;0/1559.9,1/1559.9;0/0;0/0,1/0;0/0;0/5,1/0;0/0;0/0,1/0;0/0;0/61,1/64;0/0;0/108,1/109
1619.9;0;130;0;2;0/1619.9;0/514.84,1/550.07;0/0;0/1619.9,1/1619.9;0/0;0/2,1/3;0/0;0/3,1/6;0/0;0/0,1/0;0/0;0/66,1/64;0/0;0/113,1/109
1679.99;0;134;0;2;0/1679.99;0/547.9,1/584.06;0/0;0/1679.99,1/1679.99;0/0;0/4,1/0;0/0;0/6,1/3;0/0;0/0,1/0;0/0;0/67,1/67;0/0;0/116,1/112
1739.89;0;140;0;2;0/1739.89;0/549.24,1/586.47;0/0;0/1739.89,1/1739.89;0/0;0/5,1/6;0/0;0/6,1/9;0/0;0/0,1/0;0/0;0/70,1/70;0/0;0/122,1/118
1799.99;0;147;0;2;0/1799.99;0/550.91,1/593.54;0/0;0/1799.99,1/1799.99;0/0;0/12,1/7;0/0;0/15,1/8;0/0;0/0,1/0;0/0;0/73,1/74;0/0;0/128,1/123
1859.88;0;150;0;2;0/1859.88;0/552.43,1/633.23;0/0;0/1859.88,1/1859.88;0/0;0/5,1/6;0/0;0/9,1/6;0/0;0/0,1/0;0/0;0/75,1/75;0/0;0/134,1/125
1919.63;0;156;0;2;0/1919.63;0/554.15,1/667.22;0/0;0/1919.63,1/1919.63;0/0;0/5,1/6;0/0;0/10,1/6;0/0;0/0,1/0;0/0;0/78,1/78;0/0;0/140,1/128
1979.67;0;161;0;2;0/1979.67;0/555.12,1/703.86;0/0;0/1979.67,1/1979.67;0/0;0/3,1/10;0/0;0/7,1/10;0/0;0/0,1/0;0/0;0/81,1/80;0/0;0/146,1/130
2039.97;0;167;0;2;0/2039.97;0/556.04,1/739.57;0/0;0/2039.97,1/2039.97;0/0;0/3,1/5;0/0;0/5,1/7;0/0;0/0,1/0;0/0;0/85,1/82;0/0;0/152,1/133
2099.82;0;172;0;2;0/2099.82;0/574.33,1/741.15;0/0;0/2099.82,1/2099.82;0/0;0/2,1/2;0/0;0/4,1/4;0/0;0/0,1/0;0/0;0/88,1/84;0/0;0/156,1/139
2159.75;0;179;0;2;0/2159.75;0/592,1/749.34;0/0;0/2159.75,1/2159.75;0/0;0/3,1/0;0/0;0/6,1/2;0/0;0/0,1/0;0/0;0/92,1/87;0/0;0/160,1/144
2219.97;0;186;0;2;0/2219.97;0/610.37,1/774.06;0/0;0/2219.97,1/2219.97;0/0;0/1,1/5;0/0;0/6,1/5;0/0;0/0,1/0;0/0;0/95,1/91;0/0;0/164,1/148
2279.67;0;192;0;2;0/2279.67;0/611.44,1/803.52;0/0;0/2279.67,1/2279.67;0/0;0/0,1/0;0/0;0/0,1/2;0/0;0/0,1/0;0/0;0/99,1/93;0/0;0/170,1/151
2339.78;0;196;0;2;0/2339.78;0/638.91,1/837.95;0/0;0/2339.78,1/2339.78;0/0;0/3,1/4;0/0;0/7,1/6;0/0;0/0,1/0;0/0;0/101,1/95;0/0;0/173,1/153
2399.95;0;200;0;2;0/2399.95;0/645.83,1/852.57;0/0;0/2399.95,1/2399.95;0/0;0/0,1/4;0/0;0/1,1/7;0/0;0/0,1/0;0/0;0/103,1/97;0/0;0/179,1/158
2459.97;0;205;0;2;0/2459.97;0/671.15,1/859.5;0/0;0/2459.97,1/2459.97;0/0;0/1,1/0;0/0;0/4,1/1;0/0;0/0,1/0;0/0;0/105,1/100;0/0;0/182,1/164
2519.94;0;208;0;2;0/2519.94;0/710.5,1/899.7;0/0;0/2519.94,1/2519.94;0/0;0/4,1/2;0/0;0/5,1/6;0/0;0/0,1/0;0/0;0/107,1/101;0/0;0/185,1/165
2579.91;0;211;0;2;0/2579.91;0/712.23,1/936.25;0/0;0/2579.91,1/2579.91;0/0;0/0,1/2;0/0;0/2,1/5;0/0;0/0,1/0;0/0;0/108,1/103;0/0;0/190,1/168
2639.88;0;215;0;2;0/2639.88;0/746.48,1/950.17;0/0;0/2639.88,1/2639.88;0/0;0/4,1/6;0/0;0/8,1/8;0/0;0/0,1/0;0/0;0/110,1/105;0/0;0/193,1/172
2699.73;0;219;0;2;0/2699.73;0/761.33,1/956.59;0/0;0/2699.73,1/2699.73;0/0;0/9,1/8;0/0;0/12,1/9;0/0;0/0,1/0;0/0;0/111,1/108;0/0;0/198,1/178
2760;0;225;0;2;0/2760;0/763.87,1/965.57;0/0;0/2760,1/2760;0/0;0/10,1/11;0/0;0/13,1/14;0/0;0/0,1/0;0/0;0/114,1/111;0/0;0/203,1/183
2819.73;0;231;0;2;0/2819.73;0/784.36,1/979.27;0/0;0/2819.73,1/2819.73;0/0;0/8,1/8;0/0;0/9,1/12;0/0;0/0,1/0;0/0;0/118,1/113;0/0;0/207,1/188
2879.96;0;234;0;2;0/2879.96;0/816.29,1/980.61;0/0;0/2879.96,1/2879.96;0/0;0/10,1/2;0/0;0/11,1/6;0/0;0/0,1/0;0/0;0/119,1/115;0/0;0/210,1/194
2939.97;0;239;0;2;0/2939.97;0/841.67,1/981.91;0/0;0/2939.97,1/2939.97;0/0;0/5,1/3;0/0;0/7,1/6;0/0;0/0,1/0;0/0;0/121,1/118;0/0;0/214,1/200
2999.7;0;245;0;2;0/2999.7;0/842.73,1/983.43;0/0;0/2999.7,1/2999.7;0/0;0/1,1/0;0/0;0/4,1/0;0/0;0/0,1/0;0/0;0/123,1/122;0/0;0/220,1/206
3059.97;0;248;0;2;0/3059.97;0/857.17,1/1035.39;0/0;0/3059.97,1/3059.97;0/0;0/0,1/0;0/0;0/0,1/3;0/0;0/0,1/0;0/0;0/126,1/122;0/0;0/224,1/206
3119.95;0;252;0;2;0/3119.95;0/901.89,1/1075.29;0/0;0/3119.95,1/3119.95;0/0;0/7,1/3;0/0;0/10,1/4;0/0;0/0,1/0;0/0;0/128,1/124;0/0;0/226,1/209
3179.75;0;258;0;2;0/3179.75;0/911.04,1/1076.63;0/0;0/3179.75,1/3179.75;0/0;0/5,1/2;0/0;0/8,1/4;0/0;0/0,1/0;0/0;0/131,1/127;0/0;0/231,1/215
3239.8;0;265;0;2;0/3239.8;0/914.27,1/1077.52;0/0;0/3239.8,1/3239.8;0/0;0/1,1/0;0/0;0/2,1/2;0/0;0/0,1/0;0/0;0/135,1/130;0/0;0/237,1/221
3299.61;0;270;0;2;0/3299.61;0/934.88,1/1091.35;0/0;0/3299.61,1/3299.61;0/0;0/1,1/0;0/0;0/4,1/2;0/0;0/0,1/0;0/0;0/137,1/133;0/0;0/241,1/225
3359.96;0;275;0;2;0/3359.96;0/954.32,1/1126.14;0/0;0/3359.96,1/3359.96;0/0;0/1,1/3;0/0;0/4,1/5;0/0;0/0,1/0;0/0;0/140,1/135;0/0;0/245,1/228
3419.81;0;281;0;2;0/3419.81;0/981.35,1/1129.61;0/0;0/3419.81,1/3419.81;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/0,1/0;0/0;0/142,1/139;0/0;0/248,1/233
3479.68;0;286;0;2;0/3479.68;0/992.97,1/1180.87;0/0;0/3479.68,1/3479.68;0/0;0/2,1/2;0/0;0/2,1/8;0/0;0/0,1/0;0/0;0/146,1/140;0/0;0/253,1/234
3539.95;0;292;0;2;0/3539.95;0/1022.39,1/1185.99;0/0;0/3539.95,1/3539.95;0/0;0/5,1/0;0/0;0/9,1/2;0/0;0/0,1/0;0/0;0/148,1/144;0/0;0/256,1/240
3599.81;0;298;0;2;0/3599.81;0/1023.49,1/1193.77;0/0;0/3599.81,1/3599.81;0/0;0/0,1/1;0/0;0/3,1/4;0/0;0/0,1/0;0/0;0/151,1/147;0/0;0/262,1/245
3659.86;0;303;0;2;0/3659.86;0/1033.75,1/1211.89;0/0;0/3659.86,1/3659.86;0/0;0/0,1/3;0/0;0/1,1/3;0/0;0/0,1/0;0/0;0/154,1/149;0/0;0/267,1/249
3720;0;305;0;2;0/3720;0/1083.9,1/1262.28;0/0;0/3720,1/3720;0/0;0/0,1/0;0/0;0/3,1/2;0/0;0/0,1/0;0/0;0/155,1/150;0/0;0/268,1/250
3779.83;0;311;0;2;0/3779.83;0/1114.24,1/1300.96;0/0;0/3779.83,1/3779.83;0/0;0/1,1/0;0/0;0/3,1/2;0/0;0/0,1/0;0/0;0/158,1/153;0/0;0/271,1/253
3839.97;0;317;0;2;0/3839.97;0/1134.86,1/1319.32;0/0;0/3839.97,1/3839.97;0/0;0/4,1/0;0/0;0/7,1/1;0/0;0/0,1/0;0/0;0/161,1/156;0/0;0/275,1/257
3899.94;0;322;0;2;0/3899.94;0/1155.37,1/1340.89;0/0;0/3899.94,1/3899.94;0/0;0/8,1/0;0/0;0/10,1/3;0/0;0/0,1/0;0/0;0/164,1/158;0/0;0/279,1/261
