#TimeStamp;DistanceTraveled
59.67;215.96
119.61;230.67
179.72;215.32
239.58;196.6
299.78;151.13
359.99;132.9
419.64;101.09
479.82;109.13
539.85;137.02
599.87;98.77
659.97;121.42
719.79;80
779.71;71.08
839.67;174.02
899.64;180.38
959.95;183.7
1019.9;282.38
1079.8;221.15
1139.65;202.15
1199.87;89.2
1260;158.63
1319.85;177.47
1379.77;282.93
1439.87;237.07
1499.64;236.62
1559.9;222.49
1619.9;254.28
1679.99;225.78
1739.89;138.45
1799.99;190.32
1859.88;154.23
1919.63;167.19
1979.67;114.89
2039.97;195.52
2099.82;184.36
2159.75;226.53
2219.97;250.66
2279.67;160.23
2339.78;233.09
2399.95;240.18
2459.97;222.4
2519.94;272.03
2579.91;222.46
2639.88;211.02
2699.73;148.28
2760;195.47
2819.73;174.28
2879.96;134.9
2939.97;122.2
2999.7;131.26
3059.97;205.09
3119.95;258.27
3179.75;161.64
3239.8;131.84
3299.61;218.27
3359.96;249.35
3419.81;221.6
3479.68;245.8
3539.95;212.86
3599.81;100.76
3659.86;229.79
3720;213.73
3779.83;238.85
3839.97;231.9
3899.94;261.61
3959.91;150.98
4019.85;161.28
4079.83;242.47
4139.61;183.99
4199.97;285.41
4259.61;158.58
4319.86;230.89
4379.91;208.31
4439.96;130.03
4499.91;103.64
4559.96;177.81
4619.67;176.55
4679.98;123.06
4739.83;126.03
4799.99;239.19
4859.81;285.22
4919.78;126.9
4979.78;0
5039.85;0
5099.65;0
5159.69;0
5219.93;0
5279.64;0
5339.98;0
5399.59;0
5459.84;0
5519.88;0
5579.79;0
5639.62;0
5699.74;0
5759.99;0
5819.96;0
5879.94;0
5939.77;0
5999.94;0
6059.72;0
6119.97;0
6179.67;0
6239.92;0
6299.89;0
6359.87;0
6419.7;0
6479.98;0
6539.65;0
6599.9;0
6659.61;0
6719.85;0
6779.98;0
6839.73;0
6899.98;0
6959.89;0
7019.93;0
7079.75;0
7139.88;0
7199.71;0
