#TimeStamp;TripTime;Type
39;18;O
58;29;O
70;23;O
73;34;O
78;28;O
93;32;O
103;14;O
113;15;O
121;35;O
127;18;O
150;17;O
157;31;O
169;15;O
179;20;O
188;30;O
197;37;O
214;15;O
215;16;O
231;42;O
241;18;O
252;33;O
265;15;O
269;18;O
286;16;O
292;18;O
295;15;O
313;18;O
317;17;O
323;18;O
325;15;O
330;46;O
335;14;O
375;35;O
390;40;O
410;14;O
424;18;O
435;15;O
446;20;O
459;35;O
480;14;O
480;16;O
483;29;O
494;18;O
511;14;O
523;16;O
525;15;O
542;41;O
562;14;O
574;20;O
613;30;O
624;16;O
628;27;O
630;13;O
653;15;O
664;15;O
676;17;O
678;14;O
697;18;O
702;18;O
707;18;O
740;15;O
743;22;O
752;17;O
775;17;O
784;14;O
830;14;O
841;15;O
872;16;O
875;36;O
877;35;O
881;29;O
883;14;O
895;16;O
903;14;O
916;17;O
926;17;O
948;14;O
958;14;O
982;14;O
989;25;O
994;21;O
1008;29;O
1021;20;O
1028;34;O
1030;16;O
1039;15;O
1050;16;O
1062;17;O
1062;14;O
1072;14;O
1084;23;O
1089;16;O
1098;42;O
1102;18;O
1106;18;O
1113;15;O
1124;16;O
1134;16;O
1141;22;O
1142;25;O
1152;25;O
1178;16;O
1202;14;O
1212;15;O
1232;15;O
1243;15;O
1252;14;O
1264;31;O
1296;15;O
1308;34;O
1329;37;O
1331;17;O
1339;15;O
1345;54;O
1364;25;O
1369;15;O
1377;23;O
1380;30;O
1405;33;O
1437;35;O
1473;34;O
1498;22;O
1505;28;O
1509;34;O
1514;28;O
1519;42;O
1530;13;O
1561;19;O
1573;17;O
1579;33;O
1584;34;O
1610;44;O
1647;23;O
1647;25;O
1655;16;O
1670;36;O
1671;14;O
1677;26;O
1679;33;O
1685;18;O
1692;16;O
1726;15;O
1729;22;O
1729;32;O
1762;14;O
1765;14;O
1774;17;O
1777;16;O
1782;34;O
1799;15;O
1809;15;O
1819;15;O
1829;18;O
1833;62;O
1855;17;O
1872;35;O
1887;15;O
1897;15;O
1907;14;O
1911;15;O
1924;17;O
1928;21;O
1937;20;O
1937;15;O
1947;14;O
1963;16;O
1971;14;O
2008;15;O
2017;14;O
2035;19;O
2044;7;O
2058;15;O
2066;44;O
2068;15;O
2082;15;O
2095;17;O
2100;25;O
2103;31;O
2135;17;O
2137;16;O
2148;20;O
2160;16;O
2174;16;O
2175;26;O
2185;20;O
2190;19;O
2199;46;O
2200;16;O
2210;15;O
2226;22;O
2236;16;O
2240;32;O
2250;14;O
2261;15;O
2266;24;O
2270;15;O
2303;14;O
2317;18;O
2348;15;O
2349;27;O
2371;36;O
2374;27;O
2403;83;O
2415;16;O
2439;16;O
2444;23;O
2453;52;O
2456;19;O
2469;35;O
2513;36;O
2530;19;O
2551;23;O
2558;28;O
2563;27;O
2574;44;O
2614;14;O
2627;45;O
2639;16;O
2647;23;O
2662;26;O
2662;20;O
2663;16;O
2669;49;O
2694;16;O
2715;14;O
2726;15;O
2745;14;O
2755;35;O
2775;17;O
2780;28;O
2781;24;O
2784;37;O
2790;23;O
2807;30;O
2819;16;O
2828;15;O
2863;29;O
2865;15;O
2878;33;O
2891;16;O
2899;29;O
2900;19;O
2913;23;O
2934;15;O
2945;15;O
2954;15;O
2955;15;O
2975;26;O
2976;15;O
2996;15;O
3070;17;O
3095;15;O
3102;38;O
3108;30;O
3119;28;O
3122;63;O
3153;15;O
3155;22;O
3162;20;O
3163;16;O
3177;14;O
3183;17;O
3190;41;O
3190;14;O
3200;27;O
3213;16;O
3218;25;O
3231;14;O
3242;29;O
3254;27;O
3287;15;O
3288;13;O
3314;35;O
3318;34;O
3320;15;O
3327;30;O
3340;30;O
3342;18;O
3352;15;O
3361;14;O
3380;14;O
3392;15;O
3400;38;O
3415;14;O
3430;18;O
3438;20;O
3453;34;O
3465;16;O
3488;15;O
3491;36;O
3498;14;O
3504;44;O
3512;14;O
3515;21;O
3525;46;O
3533;15;O
3534;26;O
3543;14;O
3556;17;O
3567;18;O
3577;14;O
3587;14;O
3591;21;O
3608;25;O
3630;14;O
3673;14;O
3700;12;O
3716;32;O
3718;28;O
3724;13;O
3748;17;O
3761;32;O
3773;16;O
3792;15;O
3800;24;O
3802;21;O
3806;27;O
3810;41;O
3825;14;O
3835;17;O
3847;16;O
3853;32;O
3860;21;O
3891;16;O
3903;38;O
3906;34;O
3919;44;O
3926;16;O
3937;35;O
3937;17;O
3954;22;O
3968;15;O
3978;15;O
3988;15;O
4002;14;O
4029;15;O
4040;15;O
4084;66;O
4085;20;O
4093;22;O
4101;32;O
4182;14;O
4184;16;O
4187;26;O
4192;38;O
4202;37;O
4205;25;O
4207;14;O
4223;15;O
4233;15;O
4244;15;O
4295;17;O
4308;16;O
4324;14;O
4331;33;O
4332;14;O
4339;27;O
4350;15;O
4360;20;O
4374;16;O
4382;27;O
4388;51;O
4389;14;O
4409;14;O
4431;21;O
4434;30;O
4441;16;O
4449;19;O
4457;17;O
4465;15;O
4485;15;O
4507;16;O
4518;19;O
4526;16;O
4528;16;O
4542;15;O
4544;15;O
4555;15;O
4564;14;O
4575;15;O
4576;44;O
4586;19;O
4592;15;O
4611;14;O
4615;25;O
4620;33;O
4622;16;O
4623;16;O
4632;15;O
4636;15;O
4647;16;O
4665;15;O
4675;15;O
4676;14;O
4681;29;O
4703;18;O
4729;18;O
4746;30;O
4765;20;O
4766;15;O
4790;15;O
4813;26;O
4815;15;O
4825;50;O
4831;41;O
4831;52;O
4849;26;O
4854;41;O
