#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.98;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/1,Rest/2
179.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.74;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/4
299.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
359.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
419.96;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/0,Rest/3
479.8;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
539.9;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
599.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
