#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;45.50;3.50;False;False;True;False;28;45.50;9.50;False;False;True;False;2;34.5932850343115;59.5473209020507;29.1367604580794;40.0498096105437
12;45.50;3.50;False;False;True;False;148;31.50;1.50;True;False;False;False;1;20.5841602635753;0;20.5841602635753;20.5841602635753
12;45.50;3.50;False;False;True;False;149;32.50;1.50;True;False;False;False;2;20.9855974514859;5.14761317622352;19.3812886943846;22.5899062085871
12;45.50;3.50;False;False;True;False;216;27.50;4.50;True;False;False;False;1;17.3093464430859;0;17.3093464430859;17.3093464430859
12;45.50;3.50;False;False;True;False;217;28.50;4.50;True;False;False;False;1;17.5149999999999;0;17.5149999999999;17.5149999999999
12;45.50;3.50;False;False;True;False;221;32.50;4.50;True;False;False;False;1;15.3310173196982;0;15.3310173196982;15.3310173196982
12;45.50;3.50;False;False;True;False;222;33.50;4.50;True;False;False;False;1;13.5622222222223;0;13.5622222222223;13.5622222222223
12;45.50;3.50;False;False;True;False;242;29.50;5.50;True;False;False;False;1;20.6134271247461;0;20.6134271247461;20.6134271247461
12;45.50;3.50;False;False;True;False;313;28.50;8.50;True;False;False;False;1;27.5134271247462;0;27.5134271247462;27.5134271247462
12;45.50;3.50;False;False;True;False;367;34.50;10.50;True;False;False;False;1;18.7607431383814;0;18.7607431383814;18.7607431383814
12;45.50;3.50;False;False;True;False;391;34.50;11.50;True;False;False;False;1;19.4610145130677;0;19.4610145130677;19.4610145130677
28;45.50;9.50;False;False;True;False;242;29.50;5.50;True;False;False;False;1;21.3567504585273;0;21.3567504585273;21.3567504585273
28;45.50;9.50;False;False;True;False;360;27.50;10.50;True;False;False;False;1;20.0006493469684;0;20.0006493469684;20.0006493469684
28;45.50;9.50;False;False;True;False;361;28.50;10.50;True;False;False;False;1;16.2505555555555;0;16.2505555555555;16.2505555555555
28;45.50;9.50;False;False;True;False;437;32.50;13.50;True;False;False;False;1;33.0149062085871;0;33.0149062085871;33.0149062085871
28;45.50;9.50;False;False;True;False;438;33.50;13.50;True;False;False;False;1;27.9570318327659;0;27.9570318327659;27.9570318327659
28;45.50;9.50;False;False;True;False;456;27.50;14.50;True;False;False;False;1;26.7667604580794;0;26.7667604580794;26.7667604580794
28;45.50;9.50;False;False;True;False;462;33.50;14.50;True;False;False;False;1;22.6189726807495;0;22.6189726807495;22.6189726807495
148;31.50;1.50;True;False;False;False;149;32.50;1.50;True;False;False;False;2;3.27815075028363;0.380704375128979;2.84185705612282;3.71444444444445
148;31.50;1.50;True;False;False;False;240;27.50;5.50;True;False;False;False;1;12.791938041353;0;12.791938041353;12.791938041353
149;32.50;1.50;True;False;False;False;12;45.50;3.50;False;False;True;False;2;28.9383453496856;18.964948899189;25.8589826803018;32.0177080190694
149;32.50;1.50;True;False;False;False;240;27.50;5.50;True;False;False;False;1;21.7939854869322;0;21.7939854869322;21.7939854869322
149;32.50;1.50;True;False;False;False;241;28.50;5.50;True;False;False;False;1;14.52;0;14.52;14.52
206;17.50;4.50;True;False;False;False;230;17.50;5.50;True;False;False;False;1;2.64490620858714;0;2.64490620858714;2.64490620858714
216;27.50;4.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;59.2191702631276;0;59.2191702631276;59.2191702631276
216;27.50;4.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;29.2391966787775;0;29.2391966787775;29.2391966787775
216;27.50;4.50;True;False;False;False;241;28.50;5.50;True;False;False;False;1;5.66333333333336;0;5.66333333333336;5.66333333333336
217;28.50;4.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;24.7340834882909;0;24.7340834882909;24.7340834882909
217;28.50;4.50;True;False;False;False;240;27.50;5.50;True;False;False;False;1;5.89611111111105;0;5.89611111111105;5.89611111111105
221;32.50;4.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;75.5268542494925;0;75.5268542494925;75.5268542494925
221;32.50;4.50;True;False;False;False;241;28.50;5.50;True;False;False;False;1;7.08898268030183;0;7.08898268030183;7.08898268030183
222;33.50;4.50;True;False;False;False;148;31.50;1.50;True;False;False;False;1;8.51352091615908;0;8.51352091615908;8.51352091615908
222;33.50;4.50;True;False;False;False;221;32.50;4.50;True;False;False;False;1;2.26787156919065;0;2.26787156919065;2.26787156919065
224;11.50;5.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;51.2600937914129;0;51.2600937914129;51.2600937914129
225;12.50;5.50;True;False;False;False;224;11.50;5.50;True;False;False;False;1;3.69490620858714;0;3.69490620858714;3.69490620858714
230;17.50;5.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;33.8673160136351;0;33.8673160136351;33.8673160136351
239;26.50;5.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;35.6712886943846;0;35.6712886943846;35.6712886943846
240;27.50;5.50;True;False;False;False;216;27.50;4.50;True;False;False;False;1;3.63188066514272;0;3.63188066514272;3.63188066514272
240;27.50;5.50;True;False;False;False;239;26.50;5.50;True;False;False;False;1;3.75268398636501;0;3.75268398636501;3.75268398636501
241;28.50;5.50;True;False;False;False;216;27.50;4.50;True;False;False;False;1;6.75601731969826;0;6.75601731969826;6.75601731969826
241;28.50;5.50;True;False;False;False;217;28.50;4.50;True;False;False;False;1;3.08833193001809;0;3.08833193001809;3.08833193001809
241;28.50;5.50;True;False;False;False;242;29.50;5.50;True;False;False;False;2;2.74361111111108;0.0179445987654138;2.64888888888891;2.83833333333325
242;29.50;5.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;20.4959835525075;0;20.4959835525075;20.4959835525075
242;29.50;5.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;30.2105555555556;0;30.2105555555556;30.2105555555556
242;29.50;5.50;True;False;False;False;241;28.50;5.50;True;False;False;False;1;4.15111111111099;0;4.15111111111099;4.15111111111099
242;29.50;5.50;True;False;False;False;312;27.50;8.50;True;False;False;False;1;8.33111111111106;0;8.33111111111106;8.33111111111106
312;27.50;8.50;True;False;False;False;313;28.50;8.50;True;False;False;False;1;2.73222222222228;0;2.73222222222228;2.73222222222228
313;28.50;8.50;True;False;False;False;28;45.50;9.50;False;False;True;False;1;38.9597522343331;0;38.9597522343331;38.9597522343331
313;28.50;8.50;True;False;False;False;236;23.50;5.50;True;False;False;False;1;13.8616666666667;0;13.8616666666667;13.8616666666667
360;27.50;10.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;46.0604279969518;0;46.0604279969518;46.0604279969518
360;27.50;10.50;True;False;False;False;431;26.50;13.50;True;False;False;False;1;7.84444444444443;0;7.84444444444443;7.84444444444443
361;28.50;10.50;True;False;False;False;312;27.50;8.50;True;False;False;False;1;6.02999999999992;0;6.02999999999992;6.02999999999992
361;28.50;10.50;True;False;False;False;360;27.50;10.50;True;False;False;False;1;2.63611111111112;0;2.63611111111112;2.63611111111112
367;34.50;10.50;True;False;False;False;12;45.50;3.50;False;False;True;False;1;45.4873160136351;0;45.4873160136351;45.4873160136351
