#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.99;0;0;0;2;0/59.99;0/59.99,1/59.99;0/0;0/59.99,1/59.99;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.98;0;4;0;2;0/119.98;0/76.41,1/119.98;0/0;0/119.98,1/119.98;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/5,1/0
179.96;0;7;0;2;0/179.96;0/111.62,1/179.96;0/0;0/179.96,1/179.96;0/0;0/0,1/0;0/0;0/2,1/4;0/0;0/0,1/0;0/0;0/7,1/0;0/0;0/7,1/0
239.74;0;11;0;2;0/239.74;0/151.1,1/200.49;0/0;0/239.74,1/239.74;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
299.96;0;11;0;2;0/299.96;0/211.33,1/260.72;0/0;0/299.96,1/299.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
359.86;0;11;0;2;0/359.86;0/271.23,1/320.62;0/0;0/359.86,1/359.86;0/0;0/0,1/2;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
419.96;0;18;0;2;0/419.96;0/291.78,1/357.3;0/0;0/419.96,1/419.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
479.8;0;18;0;2;0/479.8;0/351.62,1/411.37;0/0;0/479.8,1/479.8;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
539.9;0;18;0;2;0/539.9;0/411.73,1/471.48;0/0;0/539.9,1/539.9;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
599.98;0;18;0;2;0/599.98;0/471.8,1/531.55;0/0;0/599.98,1/599.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
