#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.65;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/1,Rest/2
179.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.93;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/0,Rest/2
299.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
359.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
419.92;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
479.74;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
539.63;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
599.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
