#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.56;0;1
9.86;0;1
14.06;0;1
15.36;0;1
19.94;0;1
42.58;0;1
43.67;0;1
44.79;0;1
46.09;0;3
48.09;0;2
49.39;0;1
50.72;0;2
52.01;0;2
53.14;0;1
54.23;0;1
55.32;0;3
56.39;0;1
57.99;0;1
59.24;0;1
60.45;0;2
61.82;0;1
62.91;0;2
64.08;0;1
65.37;0;2
67.32;0;1
68.46;0;2
70.5;0;1
71.57;0;2
72.62;0;1
74;0;1
75.07;0;1
76.16;0;1
77.3;0;1
78.58;0;2
79.76;0;2
81.04;0;2
83.51;0;1
86.96;0;1
88.84;0;1
90.34;0;1
91.43;0;1
95.6;0;1
98.03;0;1
99.15;0;2
100.15;0;1
103.07;0;1
108.36;0;2
109.45;0;1
110.5;0;1
114.29;0;1
115.6;0;1
118.94;0;1
120.46;0;1
121.56;0;1
123.73;0;1
124.82;0;1
129.48;0;1
133.36;0;1
134.99;0;1
136.07;0;1
138.41;0;1
139.65;0;1
141.07;0;1
142.12;0;1
143.21;0;1
144.29;0;2
145.37;0;1
146.76;0;1
147.79;0;1
149.07;0;2
150.16;0;1
151.53;0;1
152.62;0;2
153.71;0;1
154.75;0;1
156.12;0;1
158.24;0;1
159.45;0;1
160.71;0;2
161.91;0;1
163.21;0;2
164.25;0;1
165.33;0;1
166.46;0;1
167.46;0;1
168.55;0;2
171.22;0;1
172.46;0;2
174.17;0;1
175.23;0;1
176.23;0;1
177.41;0;1
179.46;0;1
181.78;0;1
183.94;0;1
185.2;0;2
188.07;0;1
190.65;0;1
191.84;0;1
192.96;0;1
194.59;0;1
195.59;0;1
204.27;0;1
207.09;0;1
209.11;0;1
210.59;0;1
215.1;0;1
216.51;0;1
219.28;0;1
220.68;0;1
225.1;0;1
228.78;0;1
229.97;0;1
231.68;0;1
232.95;0;1
235.1;0;1
236.14;0;2
237.54;0;1
240;0;1
241.22;0;1
242.99;0;1
245.82;0;1
247.15;0;3
249.99;0;1
250.99;0;1
252.01;0;1
253.05;0;2
256.59;0;1
257.68;0;1
258.83;0;1
264.28;0;1
266.49;0;1
269.15;0;1
341.44;0;1
342.48;0;1
343.6;0;2
345.96;0;1
347.73;0;1
348.89;0;2
350.08;0;1
351.84;0;1
353.18;0;2
354.18;0;3
357.68;0;1
358.68;0;2
359.68;0;2
361.17;0;1
362.24;0;2
363.24;0;1
364.28;0;2
365.53;0;1
366.58;0;1
367.98;0;2
369.25;0;1
370.33;0;1
371.48;0;1
372.7;0;1
373.99;0;2
375.35;0;2
376.36;0;1
378.94;0;1
380.16;0;1
382.53;0;1
384.89;0;1
389.95;0;1
395.15;0;1
397.06;0;1
400.56;0;1
404.78;0;1
406.65;0;2
408.69;0;1
410.13;0;1
412.25;0;1
414.71;0;1
416.03;0;2
417.7;0;1
420.53;0;1
421.69;0;2
423.73;0;1
424.73;0;1
425.82;0;1
427.23;0;1
428.23;0;2
429.28;0;1
430.28;0;1
431.5;0;1
432.83;0;1
435.2;0;1
436.33;0;1
437.67;0;1
438.8;0;1
440.03;0;1
441.69;0;1
444.25;0;1
445.46;0;1
446.6;0;1
448.01;0;2
449.38;0;1
450.88;0;1
455.43;0;1
456.46;0;1
458.98;0;1
461.6;0;1
464.43;0;1
465.52;0;1
468.15;0;1
