#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.57;0.06;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.99;35.75;0.19;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.65;35.97;0.2;PP/0.02,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.97;35.98;0.23;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.93;36.16;0.25;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
299.97;36.16;0.25;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.86;36.17;0.27;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.92;36.23;0.28;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.74;36.23;0.3;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.63;36.23;0.3;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
599.69;36.26;0.3;PP/0.03,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
