#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.99;0;0;1;2;0/59.99;0/59.99,1/59.99;0/59.99;0/59.99,1/59.99;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.65;0;4;1;2;0/119.65;0/76.48,1/119.65;0/119.65;0/119.65,1/119.65;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/5,1/0
179.97;0;7;1;2;0/179.97;0/111.97,1/179.97;0/179.97;0/179.97,1/179.97;0/0;0/1,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/7,1/0;0/0;0/7,1/0
239.93;0;11;1;2;0/239.93;0/113.25,1/239.93;0/239.93;0/239.93,1/239.93;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/11,1/0;0/0;0/13,1/0
299.97;0;11;1;2;0/299.97;0/172.25,1/299.97;0/299.97;0/299.97,1/299.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/11,1/0;0/0;0/13,1/0
359.86;0;11;1;2;0/359.86;0/232.14,1/359.86;0/359.86;0/359.86,1/359.86;0/0;0/3,1/0;0/0;0/7,1/0;0/0;0/0,1/0;0/0;0/11,1/0;0/0;0/13,1/0
419.92;0;15;1;2;0/419.92;0/243.97,1/419.92;0/419.92;0/419.92,1/419.92;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/0,1/0;0/0;0/15,1/0;0/0;0/18,1/0
479.74;0;17;1;2;0/479.74;0/283.25,1/479.74;0/479.74;0/479.74,1/479.74;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/17,1/0;0/0;0/20,1/0
539.63;0;17;1;2;0/539.63;0/343.14,1/539.63;0/539.63;0/539.63,1/539.63;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/17,1/0;0/0;0/20,1/0
599.69;0;17;1;2;0/599.69;0/403.19,1/599.69;0/599.69;0/599.69,1/599.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/17,1/0;0/0;0/20,1/0
