#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.61;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.79;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.79;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.79;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.79;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.88;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.97;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.94;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.77;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.58;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.78;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.94;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1379.87;5;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1439.99;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1499.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1559.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.59;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1679.95;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.95;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1799.95;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1859.95;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1919.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1979.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2039.96;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2099.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2159.6;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
