#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.61;2;0;0;22.76;0;22.76;0;0.56
119.79;3;0;0;46.47;0;46.47;0;0.55
179.79;5;0;0;85.06;0;85.07;0;0.63
239.79;6;0;0;103.75;0;103.75;0;0.57
299.79;6;0;0;145.23;0;145.23;0;0.56
359.88;7;0;0;170.22;0;170.22;0;0.53
419.97;7;0;0;191.48;0;191.48;0;0.54
479.7;8;2;0;228.22;0;230.27;0;0.55
539.99;11;7;0;254.42;0;260.93;0;0.52
599.81;11;6;0;260.43;0;272.92;0;0.55
659.81;13;9;0;303.49;0;323.58;0;0.52
719.81;16;9;0;320.94;0;354.91;0;0.52
779.81;17;5;0;315.4;0;368.63;0;0.5
839.94;17;1;0;305.58;0;387.85;0;0.51
899.77;19;4;0;356.14;0;418.93;0;0.55
959.61;20;2;0;330.62;0;386.26;0;0.52
1019.61;21;1;0;329.22;0;392.28;0;0.52
1079.61;23;1;0;312.19;0;363.52;0;0.53
1139.58;25;3;0;361.48;0;411.77;0;0.54
1199.78;25;3;0;366.76;0;415.85;0;0.54
1259.81;25;2;0;337.78;0;383.95;0;0.55
1319.94;29;4;0;362.17;0;413.16;0;0.51
1379.87;31;3;0;400.46;0;459.43;0;0.54
1439.99;32;3;0;459.31;0;518.6;0;0.55
1499.75;32;0;0;479.9;0;554.06;0;0.59
1559.74;34;0;0;509.65;0;581.62;0;0.62
1619.59;35;0;0;552.35;0;609.35;0;0.63
1679.95;35;2;0;546.24;0;593.25;0;0.65
1739.95;37;6;0;591.54;0;640.25;0;0.61
1799.95;38;10;0;637.27;0;680.78;0;0.59
1859.95;38;18;0;656.87;0;697.45;0;0.64
1919.66;38;18;0;639.18;0;677.1;0;0.6
1979.86;38;19;0;548.26;0;619.58;0;0.6
2039.96;38;23;0;561.6;0;637.06;0;0.58
2099.93;41;26;0;621.57;0;697.03;0;0.59
2159.6;41;23;0;520.9;0;621.24;0;0.61
2219.86;43;24;0;472.53;0;579.19;0;0.62
2279.64;44;27;0;508.34;0;632.2;0;0.61
2339.68;45;22;0;492.62;0;638.39;0;0.63
2399.71;46;22;0;532.9;0;699.58;0;0.65
2459.99;46;26;0;562.56;0;767.07;0;0.68
2519.87;46;28;0;597.61;0;786.97;0;0.66
2579.97;47;26;0;499.19;0;737.7;0;0.66
2639.97;48;31;0;507.34;0;819.67;0;0.64
2699.97;49;34;0;566.08;0;874.65;0;0.64
2759.97;51;39;0;615.17;0;877.24;0;0.61
2819.97;53;44;0;675.17;0;937.24;0;0.61
2879.71;53;44;0;450.45;0;741.59;0;0.58
2939.8;53;43;0;474.44;0;760.39;0;0.56
2999.77;53;45;0;514.22;0;800.19;0;0.56
3059.99;53;43;0;418.16;0;807.81;0;0.56
3119.9;55;43;0;360.11;0;704.55;0;0.55
3179.77;57;42;0;359.3;0;702.93;0;0.55
3239.95;60;42;0;375.43;0;736.96;0;0.54
3299.58;60;44;0;431.69;0;838.13;0;0.56
3359.59;61;43;0;445.94;0;809.54;0;0.54
3419.62;62;42;0;406.76;0;824.23;0;0.55
3479.66;63;45;0;448.68;0;846.89;0;0.54
3539.68;65;40;0;443.43;0;838.98;0;0.56
3599.77;65;41;0;473.25;0;933.12;0;0.55
3659.65;65;40;0;456.14;0;909.26;0;0.58
3719.65;66;41;0;440.11;0;871.58;0;0.58
3779.75;66;40;0;411.97;0;858.85;0;0.54
3839.79;66;41;0;452.25;0;904.96;0;0.57
3899.96;70;40;0;465.36;0;975;0;0.55
3959.84;70;43;0;516.85;0;981.91;0;0.55
4019.97;71;46;0;572.36;0;1056.25;0;0.57
4079.95;72;45;0;510.56;0;1068.1;0;0.6
4139.84;72;42;0;477.75;0;1064.08;0;0.62
4199.84;72;46;0;525.56;0;1158.71;0;0.63
4259.88;72;44;0;408.56;0;1028.76;0;0.62
4319.95;72;44;0;416.95;0;1044.02;0;0.61
4379.97;72;44;0;458.48;0;1115.4;0;0.62
4439.76;73;39;0;476.68;0;1172.2;0;0.61
4499.59;76;40;0;466.31;0;1297.8;0;0.63
4559.95;78;43;0;457.66;0;1329.66;0;0.64
4619.76;79;46;0;501.06;0;1352.21;0;0.63
4679.88;80;49;0;551.91;0;1401.63;0;0.62
4739.61;80;55;0;596.07;0;1437.53;0;0.61
4799.72;83;55;0;636.41;0;1469.88;0;0.61
4859.9;84;56;0;618.85;0;1446.93;0;0.61
4919.9;84;55;0;653.55;0;1464.05;0;0.61
4979.98;86;54;0;646.82;0;1564.92;0;0.61
5039.91;87;51;0;695.38;0;1580.76;0;0.61
5099.6;87;49;0;747.2;0;1720.17;0;0.64
5159.92;87;46;0;647.22;0;1609.38;0;0.66
5219.92;87;42;0;543.83;0;1364.17;0;0.66
5279.73;87;37;0;459.5;0;1416.32;0;0.66
5339.94;87;36;0;516.36;0;1461.25;0;0.67
5399.79;87;32;0;421.39;0;1499.67;0;0.67
5459.61;87;28;0;405.99;0;1546.87;0;0.68
5519.72;87;24;0;435.57;0;1603.49;0;0.65
5579.76;87;21;0;381.02;0;1587.41;0;0.63
5639.93;87;18;0;419.18;0;1567.53;0;0.64
5699.84;87;15;0;463.1;0;1617.89;0;0.64
5759.84;87;14;0;510.88;0;1654.54;0;0.64
5819.99;87;11;0;498.94;0;1644.09;0;0.62
5879.93;87;8;0;471.27;0;1576.72;0;0.64
5939.99;87;3;0;447.39;0;1554.06;0;0.62
5999.84;87;0;0;482.6;0;1565.71;0;0.62
6059.81;87;0;0;565.43;0;1623.52;0;0.64
6119.99;87;0;0;697.47;0;1744.87;0;0.65
6179.82;87;0;0;997.04;0;1860.9;0;0.67
6239.78;87;0;0;1247.21;0;1934.13;0;0.65
6299.71;87;0;0;0;0;0;0;0
6359.82;87;0;0;0;0;0;0;0
6419.93;87;0;0;0;0;0;0;0
6479.62;87;0;0;0;0;0;0;0
6539.65;87;0;0;0;0;0;0;0
6599.66;87;0;0;0;0;0;0;0
6659.66;87;0;0;0;0;0;0;0
6719.66;87;0;0;0;0;0;0;0
6779.66;87;0;0;0;0;0;0;0
6839.66;87;0;0;0;0;0;0;0
6899.66;87;0;0;0;0;0;0;0
6959.66;87;0;0;0;0;0;0;0
7019.66;87;0;0;0;0;0;0;0
7079.66;87;0;0;0;0;0;0;0
7139.66;87;0;0;0;0;0;0;0
7199.66;87;0;0;0;0;0;0;0
