#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.81;0.7;18;0;0;0;0;0;0;0;0;0
1199.78;0.69;18;0;0;0;0;0;0;0;0;0
1799.95;0.68;18;0;0;0;0;0;0;0;0;0
2399.71;0.68;18;0;0;0;0;0;0;0;0;0
2999.77;0.67;18;0;0;0;0;0;0;0;0;0
3599.77;0.67;18;0;0;0;0;0;0;0;0;0
4199.84;0.66;18;0;0;0;0;0;0;0;0;0
4799.72;0.65;18;0;0;0;0;0;0;0;0;0
5399.79;0.65;18;0;0;0;0;0;0;0;0;0
5999.84;0.64;18;0;0;0;0;0;0;0;0;0
6599.66;0.64;18;0;0;0;0;0;0;0;0;0
7199.66;0.64;18;0;0;0;0;0;0;0;0;0
