#TimeStamp;Bot;Pod;OutputStation
29.33;0;83;0
42.22;1;111;0
53.13;4;151;0
63.17;4;151;0
72.93;4;151;0
82.97;4;151;0
93.19;4;151;0
103.13;4;151;0
113.19;4;151;0
122.94;4;151;0
133.15;4;151;0
142.94;4;151;0
152.98;4;151;0
162.9;4;151;0
173.15;4;151;0
182.94;4;151;0
193.15;4;151;0
202.94;4;151;0
213.02;4;151;0
223.28;4;151;0
233.28;4;151;0
243.7;4;151;0
253.99;4;151;0
263.78;4;151;0
273.99;4;151;0
283.78;4;151;0
293.99;4;151;0
304.12;4;151;0
314.48;4;151;0
324.41;4;151;0
334.41;4;151;0
344.41;4;151;0
354.51;0;83;0
364.48;0;83;0
367;4;151;1
374.22;0;83;0
377.07;4;151;1
384.22;0;83;0
387.07;4;151;1
394.55;0;83;0
397.07;4;151;1
404.91;0;83;0
407.23;4;151;1
414.64;0;83;0
417.07;4;151;1
424.87;0;83;0
427.04;4;151;1
434.64;0;83;0
436.97;4;151;1
444.97;0;83;0
447.07;4;151;1
455.39;0;83;0
457.07;4;151;1
465.48;0;83;0
467.29;4;151;1
475.48;0;83;0
477.37;4;151;1
485.81;0;83;0
487.35;4;151;1
495.9;0;83;0
497.49;4;151;1
505.9;0;83;0
507.49;4;151;1
515.96;5;167;0
517.37;4;151;1
526.14;5;167;0
527.58;4;151;1
536.23;5;167;0
537.36;4;151;1
546.52;5;167;0
547.36;4;151;1
556.74;5;167;0
557.57;4;151;1
566.94;5;167;0
567.36;4;151;1
577.16;5;167;0
577.71;4;151;1
587.16;5;167;0
587.78;4;151;1
597.16;5;167;0
597.78;4;151;1
607.12;5;167;0
607.78;4;151;1
617.16;5;167;0
617.78;4;151;1
627.36;5;167;0
627.78;4;151;1
637.58;5;167;0
637.78;4;151;1
647.72;5;167;0
647.78;4;151;1
657.78;5;167;0
657.78;4;151;1
667.93;5;167;0
667.93;0;83;1
677.8;5;167;0
677.8;0;83;1
687.94;3;41;0
687.94;0;83;1
697.91;3;41;0
697.91;0;83;1
707.8;0;83;1
708.13;3;41;0
717.88;0;83;1
718.55;3;41;0
728.1;5;167;1
728.97;3;41;0
738.15;5;167;1
739.24;3;41;0
748.36;5;167;1
749.39;3;41;0
758.64;5;167;1
759.62;3;41;0
768.78;5;167;1
769.62;3;41;0
778.84;5;167;1
779.62;3;41;0
789.06;5;167;1
789.62;3;41;0
799.02;5;167;1
799.65;2;32;0
809;5;167;1
809.81;2;32;0
819.18;5;167;1
819.65;2;32;0
829.23;3;41;1
829.65;2;32;0
839.65;3;41;1
839.94;2;32;0
849.84;3;41;1
849.94;2;32;0
859.65;3;41;1
859.94;2;32;0
869.94;2;32;0
869.94;3;41;1
879.66;2;32;0
879.66;3;41;1
889.81;3;41;1
890;1;111;0
899.77;3;41;1
900.37;1;111;0
910;3;41;1
910.42;1;111;0
920;3;41;1
920.79;1;111;0
930.03;3;41;1
931.21;1;111;0
940;3;41;1
941.26;1;111;0
950.03;3;41;1
951.26;1;111;0
960;3;41;1
961.26;1;111;0
970.42;3;41;1
971.26;1;111;0
980.42;3;41;1
981.26;1;111;0
990.45;3;41;1
991.63;1;111;0
1000.42;3;41;1
1002.05;1;111;0
1010.84;3;41;1
1012.1;1;111;0
1020.84;3;41;1
1022.1;1;111;0
1030.87;3;41;1
1032.1;1;111;0
1041.16;3;41;1
1042.47;4;151;0
1051.12;3;41;1
1052.89;4;151;0
1061.26;3;41;1
1062.94;4;151;0
1071.68;3;41;1
1072.98;4;151;0
1081.68;3;41;1
1083.31;4;151;0
1091.71;3;41;1
1093.73;4;151;0
1101.68;3;41;1
1103.78;4;151;0
1111.82;3;41;1
1113.9;4;151;0
1121.85;3;41;1
1123.78;4;151;0
1131.95;2;32;1
1134.01;4;151;0
1141.81;2;32;1
1144.15;0;83;0
1151.7;2;32;1
1154.54;0;83;0
1162.1;2;32;1
1164.2;0;83;0
1172.33;2;32;1
1174.2;0;83;0
1182.1;2;32;1
1184.2;0;83;0
1192.15;2;32;1
1194.59;0;83;0
1202.37;1;111;1
1204.66;0;83;0
1212.52;1;111;1
1214.97;0;83;0
1222.56;1;111;1
1224.62;0;83;0
1232.94;1;111;1
1235.01;5;167;0
1243.28;1;111;1
1245.43;5;167;0
1253.04;1;111;1
1255.46;5;167;0
1263.36;1;111;1
1265.46;5;167;0
1273.78;0;83;1
1275.5;5;167;0
1283.77;0;83;1
1285.34;5;167;0
1295.47;5;167;0
1305.18;5;167;0
1315.43;5;167;0
1325.38;3;41;0
1335.47;3;41;0
1338.55;5;167;1
1345.55;3;41;0
1348.59;5;167;1
1355.97;3;41;0
1358.91;5;167;1
1366.36;3;41;0
1376.03;3;41;0
1386.41;4;151;0
1396.38;2;32;0
1406.25;2;32;0
1416.39;2;32;0
1426.29;2;32;0
1436.19;2;32;0
1446.19;1;111;0
1456.53;1;111;0
1459.12;2;32;1
1466.73;1;111;0
1476.74;1;111;0
1487.18;1;111;0
1494.54;2;32;1
1497.34;1;111;0
1504.75;2;32;1
1507.6;1;111;0
1517.82;0;83;0
1527.78;0;83;0
1537.55;0;83;0
1547.63;0;83;0
1557.7;5;167;0
1567.85;5;167;0
1570.2;0;83;1
1577.87;5;167;0
1587.7;3;166;0
1597.91;3;166;0
1601.26;5;167;1
1608.28;3;166;0
1618.33;3;166;0
1628.52;3;166;0
1638.34;3;166;0
1648.71;3;166;0
1658.68;3;166;0
1668.69;3;166;0
1678.75;3;166;0
1688.69;3;166;0
1698.64;3;166;0
1708.64;3;166;0
1718.64;3;166;0
1728.64;3;166;0
1738.98;3;166;0
1748.77;3;166;0
1758.96;3;166;0
1768.77;3;166;0
1778.7;3;166;0
1788.76;3;166;0
1799.11;3;166;0
1809.53;3;166;0
1819.58;3;166;0
1829.61;3;166;0
1839.74;3;166;0
1849.67;3;166;0
1859.61;3;166;0
1869.61;3;166;0
1879.95;3;166;0
1889.66;3;166;0
1900;3;166;0
1910.08;3;166;0
1920;3;166;0
1930.08;3;166;0
1940;4;138;0
1950.42;4;138;0
1953.16;3;166;1
1960.77;4;138;0
1963.44;3;166;1
1970.79;4;138;0
1973.86;3;166;1
1980.84;4;138;0
1983.91;3;166;1
1991.1;4;138;0
1994.13;3;166;1
2001.19;4;138;0
2004.13;3;166;1
2011.54;4;138;0
2014.19;3;166;1
2021.54;4;138;0
2024.55;3;166;1
2031.54;4;138;0
2034.55;3;166;1
2041.54;4;138;0
2044.55;3;166;1
2051.54;4;138;0
2054.22;3;166;1
2061.45;4;138;0
2071.26;4;138;0
2081.4;2;32;0
2091.39;2;32;0
2094.65;4;138;1
2101.61;2;32;0
2105.01;4;138;1
2111.99;2;32;0
2115.03;4;138;1
2122.01;2;32;0
2125.09;4;138;1
2132.02;2;32;0
2135.51;4;138;1
2142.02;1;111;0
2145.84;4;138;1
2151.84;1;111;0
2155.53;4;138;1
2162.07;1;111;0
2165.53;4;138;1
2172.44;1;111;0
2175.53;4;138;1
2182.48;0;83;0
2185.93;4;138;1
2192.49;0;83;0
2195.98;4;138;1
2202.48;0;83;0
2206;4;138;1
2212.49;0;83;0
2216.4;4;138;1
2222.49;0;83;0
2226.82;4;138;1
2232.53;0;83;0
2237.1;4;138;1
2242.59;0;83;0
2247.15;4;138;1
2252.86;0;83;0
2257.21;4;138;1
2262.88;0;83;0
2267.23;4;138;1
2272.9;0;83;0
2276.87;4;138;1
2282.9;5;41;0
2287.28;4;138;1
2292.95;5;41;0
2297.7;4;138;1
2303.19;5;41;0
2307.68;4;138;1
2313.1;5;41;0
2317.75;4;138;1
2323.1;5;41;0
2328.08;4;138;1
2333.37;5;41;0
2338.08;4;138;1
2343.52;5;41;0
2348.08;4;138;1
2353.79;5;41;0
2357.77;4;138;1
2363.65;3;166;0
2368.14;2;32;1
2373.8;3;166;0
2377.9;2;32;1
2383.64;3;166;0
2388.15;2;32;1
2393.59;3;166;0
2398.01;5;41;1
2403.66;3;166;0
2413.75;1;69;0
2423.85;1;69;0
2433.51;1;69;0
2443.8;1;69;0
2450.2;3;166;1
2453.66;1;69;0
2460.2;5;168;1
2463.56;1;69;0
2470.2;5;168;1
2473.87;1;69;0
2480.36;5;168;1
2483.83;1;69;0
2490.64;5;168;1
2493.92;1;69;0
2500.46;5;168;1
2503.94;1;69;0
