% time handles
0 0
10 0
20 0
30 0
40 1
50 1
60 1
70 1
80 1
90 1
100 0
110 0
120 0
130 0
140 0
150 0
160 0
170 0
180 0
190 0
200 1
210 1
220 2
230 2
240 2
250 2
260 1
270 1
280 1
290 1
300 1
310 1
320 1
330 1
340 0
350 0
360 0
370 1
380 1
390 1
400 1
410 1
420 2
430 2
440 3
450 3
460 4
470 4
480 3
490 2
500 1
510 2
520 2
530 2
540 3
550 4
560 4
570 3
580 2
590 2
600 2
610 1
620 1
630 2
640 2
650 2
660 1
670 1
680 2
690 2
700 3
710 4
720 6
730 6
740 6
750 5
760 4
770 3
780 2
790 2
800 2
810 4
820 4
830 4
840 4
850 4
860 4
870 2
880 4
890 4
900 4
910 5
920 4
930 4
940 2
950 3
960 2
970 2
980 3
990 4
1000 4
1010 3
1020 4
1030 4
1040 4
1050 4
1060 5
1070 6
1080 5
1090 4
1100 3
1110 2
1120 2
1130 2
1140 3
1150 3
1160 3
1170 4
1180 3
1190 3
1200 2
1210 4
1220 5
1230 4
1240 5
1250 4
1260 4
1270 2
1280 1
1290 1
1300 0
1310 0
1320 2
1330 3
1340 3
1350 3
1360 4
1370 4
1380 2
1390 1
1400 1
1410 1
1420 0
1430 1
1440 3
1450 3
1460 4
1470 4
1480 5
1490 5
1500 3
1510 3
1520 2
1530 2
1540 1
1550 0
1560 1
1570 2
1580 2
1590 3
1600 3
1610 3
1620 2
1630 1
1640 1
1650 1
1660 1
1670 1
1680 1
1690 1
1700 1
1710 1
1720 1
1730 1
1740 1
1750 1
1760 1
1770 1
1780 2
1790 2
1800 2
1810 2
1820 2
1830 1
1840 0
1850 1
1860 1
1870 2
1880 2
1890 2
1900 2
1910 1
1920 1
1930 1
1940 3
1950 4
1960 4
1970 4
1980 5
1990 5
2000 3
2010 2
2020 2
2030 2
2040 1
2050 0
2060 0
2070 0
2080 2
2090 2
2100 3
2110 4
2120 4
2130 4
2140 3
2150 3
2160 3
2170 3
2180 3
2190 4
2200 4
2210 5
2220 4
2230 4
2240 4
2250 3
2260 3
2270 4
2280 5
2290 5
2300 5
2310 6
2320 5
2330 4
2340 3
2350 2
2360 2
2370 1
2380 2
2390 1
2400 2
2410 2
2420 2
2430 2
2440 1
2450 1
2460 1
2470 2
2480 2
2490 2
2500 3
2510 3
2520 4
2530 5
2540 5
2550 5
2560 4
2570 5
2580 5
2590 4
2600 4
2610 4
2620 5
2630 4
2640 2
2650 1
2660 1
2670 1
2680 1
2690 1
2700 1
2710 1
2720 1
2730 2
2740 1
2750 1
2760 1
2770 1
2780 1
2790 0
2800 1
2810 3
2820 5
2830 5
2840 5
2850 5
2860 5
2870 3
2880 2
2890 3
2900 3
2910 4
2920 3
2930 3
2940 2
2950 2
2960 2
2970 1
2980 3
2990 4
3000 5
3010 4
3020 4
3030 5
3040 5
3050 5
3060 4
3070 4
3080 5
3090 4
3100 3
3110 2
3120 2
3130 4
3140 3
3150 3
3160 2
3170 2
3180 3
3190 1
3200 2
3210 2
3220 3
3230 3
3240 2
3250 3
3260 2
3270 2
3280 1
3290 3
3300 4
3310 3
3320 4
3330 4
3340 4
3350 3
3360 3
3370 4
3380 4
3390 5
3400 5
3410 4
3420 4
3430 5
3440 4
3450 3
3460 4
3470 6
3480 6
3490 5
3500 6
3510 6
3520 5
3530 3
3540 3
3550 3
3560 3
3570 3
3580 4
3590 4
3600 3
3610 3
3620 4
3630 5
3640 4
3650 4
3660 5
3670 5
3680 3
3690 2
