#TimeStamp;Runtime;Requests
0.88;0.03;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.56;0;1
9.86;0;1
10.99;0;1
12.07;0;1
13.32;0;1
14.66;0;1
15.94;0;1
17.03;0;1
18.11;0;1
19.14;0;1
20.28;0;1
21.37;0;1
22.63;0;1
24.87;0;1
29.71;0;1
33.24;0;1
39.47;0;1
40.5;0;2
42.5;0;2
43.59;0;2
45.22;0;1
46.59;0;1
47.84;0;1
48.93;0;1
50.51;0;1
51.64;0;1
53.13;0;1
54.43;0;1
55.85;0;1
57.05;0;1
58.31;0;1
59.52;0;3
61.56;0;1
62.65;0;2
63.74;0;1
64.8;0;1
66.9;0;1
68.09;0;3
69.95;0;1
71.18;0;1
72.26;0;1
73.49;0;1
76.16;0;1
77.37;0;1
78.62;0;1
81.09;0;1
83.71;0;1
86.9;0;1
96.6;0;1
106.9;0;1
116.9;0;1
126.9;0;1
136.9;0;1
146.89;0;1
156.9;0;1
166.9;0;1
176.9;0;1
186.9;0;1
196.9;0;1
206.9;0;1
216.9;0;1
227.21;0;1
237.32;0;1
247.74;0;1
257.74;0;1
267.74;0;1
277.74;0;1
287.74;0;1
297.74;0;1
308.16;0;1
318.16;0;1
328.16;0;1
338.16;0;1
348.16;0;1
353;0;1
358.39;0;1
359.83;0;1
368.44;0;1
370.92;0;1
378.44;0;1
380.92;0;1
388.44;0;1
390.92;0;1
398.86;0;1
400.92;0;1
408.86;0;1
410.92;0;1
418.86;0;1
420.92;0;1
428.64;0;1
430.92;0;1
438.86;0;1
440.92;0;1
449.28;0;1
450.44;0;1
459.7;0;1
460.81;0;1
469.7;0;1
470.86;0;1
479.7;0;1
480.86;0;1
490.12;0;1
491.23;0;1
500;0;1
501.23;0;1
510.04;0;1
511.34;0;1
514.88;0;1
519.37;0;1
521.22;0;1
522.55;0;1
529.74;0;1
531.23;0;1
540.03;0;1
541.34;0;1
550.71;0;1
551.8;0;1
560.45;0;1
561.8;0;1
570.76;0;1
571.8;0;1
581.13;0;1
582.22;0;1
591.13;0;1
592.22;0;1
601.13;0;1
602.22;0;1
611.13;0;1
612.22;0;1
621.13;0;1
622.22;0;1
631.18;0;1
632.22;0;1
641.18;0;1
642.22;0;1
651.07;0;1
652.22;0;1
661.76;0;2
667.26;0;1
671.43;0;3
674.3;0;1
682.02;0;2
686.86;0;1
691.57;0;2
693.69;0;1
702.02;0;2
711.6;0;1
712.67;0;1
721.97;0;1
723.06;0;1
727.48;0;1
731.65;0;2
733.15;0;1
734.9;0;1
742.24;0;1
743.28;0;1
752.66;0;1
753.7;0;1
762.66;0;1
763.7;0;1
772.81;0;1
774.12;0;1
782.81;0;1
784.12;0;1
792.81;0;1
794.12;0;1
798.98;0;1
802.81;0;1
804.02;0;1
805.81;0;1
812.65;0;1
813.82;0;1
822.94;0;1
