#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;36.89;0.11;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.61;38.01;0.31;PP/0.04,TA/0.01,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
119.79;38.04;0.34;PP/0.04,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
179.79;38.07;0.36;PP/0.04,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
239.79;38.07;0.38;PP/0.04,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
299.79;38.07;0.4;PP/0.04,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.88;38.07;0.43;PP/0.04,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.97;38.38;0.47;PP/0.04,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
479.7;38.41;0.52;PP/0.04,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
539.99;38.41;0.56;PP/0.05,TA/0.2,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
599.81;38.41;0.6;PP/0.05,TA/0.23,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
659.81;38.41;0.65;PP/0.05,TA/0.26,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
719.81;38.52;0.69;PP/0.05,TA/0.29,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
779.81;38.52;0.73;PP/0.05,TA/0.32,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
839.94;38.52;0.76;PP/0.05,TA/0.35,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
899.77;38.52;0.8;PP/0.05,TA/0.38,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
959.61;38.52;0.84;PP/0.05,TA/0.41,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1019.61;38.53;0.88;PP/0.05,TA/0.43,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1079.61;38.53;0.92;PP/0.05,TA/0.46,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1139.58;38.53;0.95;PP/0.05,TA/0.49,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1199.78;38.56;1;PP/0.06,TA/0.53,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1259.81;38.63;1.04;PP/0.06,TA/0.56,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1319.94;38.63;1.07;PP/0.06,TA/0.58,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1379.87;38.63;1.11;PP/0.06,TA/0.61,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1439.99;38.63;1.13;PP/0.06,TA/0.62,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1499.75;38.79;1.16;PP/0.06,TA/0.64,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1559.74;38.79;1.19;PP/0.06,TA/0.65,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1619.59;38.79;1.22;PP/0.07,TA/0.67,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1679.95;38.79;1.24;PP/0.07,TA/0.69,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1739.95;39.07;1.26;PP/0.07,TA/0.7,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1799.95;39.07;1.28;PP/0.07,TA/0.72,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1859.95;39.07;1.3;PP/0.07,TA/0.74,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1919.66;39.07;1.32;PP/0.07,TA/0.75,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1979.86;39.07;1.36;PP/0.07,TA/0.78,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2039.96;39.07;1.4;PP/0.07,TA/0.81,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2099.93;39.19;1.43;PP/0.07,TA/0.84,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
