#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.61;0;2;0;2;0/59.61;0/33.46,1/59.61;0/0;0/59.61,1/59.61;0/0;0/7,1/0;0/0;0/12,1/0;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/3,1/0
119.79;0;2;0;2;0/119.79;0/34.69,1/119.79;0/0;0/119.79,1/119.79;0/0;0/22,1/0;0/0;0/28,1/0;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/9,1/0
179.79;0;2;0;2;0/179.79;0/36.3,1/179.79;0/0;0/179.79,1/179.79;0/0;0/24,1/0;0/0;0/30,1/0;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/15,1/0
239.79;0;2;0;2;0/239.79;0/38.52,1/239.79;0/0;0/239.79,1/239.79;0/0;0/21,1/19;0/0;0/27,1/19;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/21,1/0
299.79;0;2;0;2;0/299.79;0/40.34,1/299.79;0/0;0/299.79,1/299.79;0/0;0/18,1/25;0/0;0/24,1/25;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/27,1/0
359.88;0;3;0;2;0/359.88;0/41.64,1/359.88;0/0;0/359.88,1/359.88;0/0;0/17,1/35;0/0;0/22,1/36;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/33,1/0
419.97;0;3;0;2;0/419.97;0/43.5,1/368.25;0/0;0/419.97,1/419.97;0/0;0/14,1/42;0/0;0/19,1/42;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/39,1/6
479.7;0;3;0;2;0/479.7;0/45.87,1/370.26;0/0;0/479.7,1/479.7;0/0;0/14,1/39;0/0;0/19,1/39;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/45,1/12
539.99;0;4;0;2;0/539.99;0/47.81,1/371.91;0/0;0/539.99,1/539.99;0/0;0/14,1/32;0/0;0/18,1/33;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/51,1/18
599.81;0;4;0;2;0/599.81;0/50.01,1/374.23;0/0;0/599.81,1/599.81;0/0;0/15,1/29;0/0;0/18,1/30;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/57,1/24
659.81;0;4;0;2;0/659.81;0/51.89,1/376.33;0/0;0/659.81,1/659.81;0/0;0/15,1/23;0/0;0/18,1/24;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/63,1/30
719.81;0;6;0;2;0/719.81;0/54.44,1/377.87;0/0;0/719.81,1/719.81;0/0;0/15,1/17;0/0;0/18,1/18;0/0;0/0,1/0;0/0;0/5,1/1;0/0;0/69,1/36
779.81;0;7;0;2;0/779.81;0/56.63,1/379.79;0/0;0/779.81,1/779.81;0/0;0/14,1/21;0/0;0/18,1/21;0/0;0/0,1/0;0/0;0/5,1/2;0/0;0/75,1/42
839.94;0;9;0;2;0/839.94;0/58.19,1/381.45;0/0;0/839.94,1/839.94;0/0;0/14,1/20;0/0;0/19,1/20;0/0;0/0,1/0;0/0;0/6,1/3;0/0;0/80,1/48
899.77;0;10;0;2;0/899.77;0/59.33,1/382.72;0/0;0/899.77,1/899.77;0/0;0/12,1/19;0/0;0/16,1/21;0/0;0/0,1/0;0/0;0/7,1/3;0/0;0/86,1/53
959.61;0;10;0;2;0/959.61;0/62.79,1/385.37;0/0;0/959.61,1/959.61;0/0;0/15,1/17;0/0;0/19,1/19;0/0;0/0,1/0;0/0;0/7,1/3;0/0;0/92,1/59
1019.61;0;10;0;2;0/1019.61;0/65.84,1/388.35;0/0;0/1019.61,1/1019.61;0/0;0/15,1/17;0/0;0/19,1/19;0/0;0/0,1/0;0/0;0/7,1/3;0/0;0/98,1/65
1079.61;0;11;0;2;0/1079.61;0/68.73,1/391.07;0/0;0/1079.61,1/1079.61;0/0;0/19,1/18;0/0;0/22,1/21;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/104,1/71
