#TimeStamp;DistanceTraveled
59.61;173.59
119.79;69.41
179.79;0
239.79;0
299.79;0
359.88;15.41
419.97;5.59
479.7;0
539.99;19
599.81;0
659.81;0
719.81;32
779.81;13
839.94;32
899.77;18
959.61;1
1019.61;0
1079.61;17
1139.58;14.02
1199.78;28.38
1259.81;28.6
1319.94;30
1379.87;34.77
1439.99;82.17
1499.75;48.06
1559.74;79.29
1619.59;61.9
1679.95;19.82
1739.95;0
1799.95;0
1859.95;0
1919.66;0
1979.86;21
2039.96;0
2099.93;38
2159.6;19
2219.86;28
2279.64;2.16
2339.68;25.84
2399.71;38.11
2459.99;85.89
2519.87;31
2579.97;0
2639.97;0
2699.97;17
2759.97;0
2819.97;21
2879.71;36
2939.8;27.39
2999.77;112
3059.99;29.93
3119.9;43.68
3179.77;21
3239.95;0
3299.58;3.81
3359.59;60.19
3419.62;43
3479.66;0
3539.68;0
3599.77;17
3659.65;28
3719.65;0
3779.75;0
3839.79;42.79
3899.96;110.21
3959.84;92.77
4019.97;136.18
4079.95;90.85
4139.84;21.19
4199.84;50
4259.88;0
4319.95;18.03
4379.97;66.11
4439.76;31.32
4499.59;15.54
4559.95;21
4619.76;50.11
4679.88;32.84
4739.61;69.68
4799.72;92.76
4859.9;88.62
4919.9;98.04
4979.98;118.9
5039.91;151.99
5099.6;187.16
5159.92;39.9
5219.92;0
5279.73;19
5339.94;17.39
5399.79;35.61
5459.61;42
5519.72;0
5579.76;42
5639.93;0
5699.84;21
5759.84;0
5819.99;18.39
5879.93;11.67
5939.99;66.33
5999.84;31.7
6059.81;45.09
6119.99;174.49
6179.82;173.41
6239.78;139.35
6299.71;110.56
6359.82;0
6419.93;0
6479.62;0
6539.65;0
6599.66;0
6659.66;0
6719.66;0
6779.66;0
6839.66;0
6899.66;0
6959.66;0
7019.66;0
7079.66;0
7139.66;0
7199.66;0
