#TimeStamp;TripTime;Type
24;7;O
35;18;O
46;28;O
60;7;O
67;19;O
72;25;O
85;26;O
89;20;O
362;14;O
524;15;O
677;16;O
696;14;O
738;17;O
808;15;O
839;17;O
897;14;O
1050;15;O
1140;15;O
1165;8;O
1213;18;O
1243;15;O
1285;18;O
1300;14;O
1333;14;O
1375;13;O
1410;9;O
1435;13;O
1454;14;O
1489;7;O
1540;10;O
1547;15;O
1565;14;O
1587;13;O
1596;15;O
1643;14;O
1948;14;O
2070;13;O
2089;15;O
2150;14;O
2210;11;O
2312;14;O
2375;18;O
2377;16;O
2409;18;O
2445;18;O
2451;27;O
2494;9;O
2679;13;O
2814;14;O
2834;14;O
2845;15;O
2937;13;O
2976;8;O
2978;14;O
2992;17;O
3000;15;O
3013;31;O
3066;14;O
3107;14;O
3118;15;O
3171;28;O
3310;15;O
3341;16;O
3344;15;O
3401;15;O
3411;15;O
3580;14;O
3615;16;O
3648;18;O
3840;8;O
3857;15;O
3874;8;O
3881;12;O
3896;13;O
3911;12;O
3945;16;O
3959;17;O
3971;18;O
3973;10;O
3994;12;O
4016;14;O
4042;14;O
4051;18;O
4064;18;O
4086;15;O
4138;16;O
4183;10;O
4186;15;O
4319;13;O
4327;14;O
4349;13;O
4378;15;O
4409;14;O
4450;13;O
4550;14;O
4596;13;O
4631;13;O
4698;10;O
4723;12;O
4741;14;O
4782;14;O
4802;10;O
4822;9;O
4823;18;O
4840;10;O
4883;15;O
4907;21;O
4914;14;O
4938;8;O
4958;16;O
4968;15;O
4978;17;O
4994;16;O
5000;14;O
5008;17;O
5036;13;O
5038;18;O
5044;29;O
5059;21;O
5096;19;O
5101;20;O
5104;12;O
5105;37;O
5110;12;O
5270;14;O
5345;29;O
5391;9;O
5417;16;O
5432;14;O
5559;16;O
5572;13;O
5659;16;O
5815;14;O
5889;17;O
5904;27;O
5932;19;O
5949;30;O
5988;17;O
6009;15;O
6049;7;O
6093;14;O
6094;11;O
6109;21;O
6119;15;O
6135;24;O
6136;19;O
6141;15;O
6144;24;O
6171;14;O
6192;20;O
6198;20;O
6201;15;O
6235;23;O
