#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
119.79;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
179.7;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
239.91;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
299.73;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
359.73;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
419.6;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
479.6;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
539.97;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
599.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
659.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
719.62;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.63;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
839.68;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
900;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
959.95;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
1019.84;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
1079.91;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
1139.9;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
1199.72;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
1259.84;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
1319.93;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
1379.59;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
1439.97;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1499.9;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/5,Rest/1
1559.78;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
