#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.72;2;0;0;22.87;0;22.87;0;0.56
119.79;3;0;0;46.47;0;46.48;0;0.55
179.7;5;0;0;83.2;0;83.2;0;0.62
239.91;6;0;0;97.83;0;97.84;0;0.56
299.73;6;0;0;133.11;0;133.11;0;0.53
359.73;7;0;0;163.51;0;163.51;0;0.5
419.6;7;0;0;184.26;0;184.27;0;0.52
479.6;8;0;0;203.35;0;203.36;0;0.52
539.97;11;1;0;190.02;0;190.34;0;0.5
599.93;11;0;0;182.52;0;184.41;0;0.49
659.93;13;0;0;177.14;0;179.59;0;0.5
719.62;16;0;0;205.52;0;207.66;0;0.51
779.63;17;0;0;256.14;0;258.36;0;0.49
839.68;17;0;0;325.64;0;328.03;0;0.47
900;19;0;0;311.93;0;313.93;0;0.48
959.95;20;0;0;322.05;0;323.25;0;0.48
1019.84;21;0;0;335.31;0;335.55;0;0.48
1079.91;23;0;0;343.89;0;344.11;0;0.51
1139.9;25;0;0;240.8;0;241.02;0;0.52
1199.72;25;0;0;254.63;0;254.82;0;0.54
1259.84;25;0;0;288.67;0;290.1;0;0.55
1319.93;29;1;0;323.28;0;324.65;0;0.53
1379.59;31;0;0;328.3;0;330.35;0;0.55
1439.97;32;0;0;381.32;0;383.11;0;0.56
1499.9;32;0;0;357.24;0;358.14;0;0.52
1559.78;34;0;0;333.74;0;334.77;0;0.54
1619.85;35;0;0;340.44;0;341.4;0;0.56
1679.95;35;0;0;301.15;0;301.45;0;0.59
1739.95;37;0;0;255.99;0;256.27;0;0.59
1799.8;38;0;0;242.34;0;242.35;0;0.61
1859.97;38;4;0;255.87;0;256.51;0;0.61
1919.65;38;4;0;297.1;0;302.39;0;0.6
1979.87;38;6;0;323.35;0;335.07;0;0.6
2039.97;38;10;0;306.36;0;318.48;0;0.6
2099.92;41;11;0;340.06;0;360.32;0;0.61
2159.8;41;7;0;364.63;0;400.36;0;0.62
2219.76;43;12;0;424.59;0;460.33;0;0.63
2279.64;44;16;0;444.49;0;481.17;0;0.63
2339.97;45;16;0;501.48;0;557.08;0;0.63
2399.94;46;12;0;466.62;0;540.45;0;0.63
2459.87;46;15;0;467.34;0;567.51;0;0.67
2519.73;46;16;0;481.79;0;578.34;0;0.66
2579.94;47;16;0;433.81;0;545.51;0;0.64
2639.78;48;22;0;412.16;0;504.27;0;0.63
2699.7;49;26;0;472.07;0;564.18;0;0.63
2759.91;51;32;0;524.72;0;614.24;0;0.62
2819.59;53;35;0;565.07;0;650.5;0;0.61
2879.74;53;37;0;564.19;0;675.78;0;0.6
2939.95;53;33;0;374.55;0;550.16;0;0.57
2999.63;53;31;0;237.7;0;522.23;0;0.61
3059.69;53;33;0;281.74;0;598.49;0;0.61
3119.7;55;35;0;308.93;0;651.09;0;0.63
3179.79;57;35;0;294.47;0;675.38;0;0.63
3239.99;60;31;0;275.97;0;721.52;0;0.67
3299.75;60;33;0;318.92;0;741.37;0;0.64
3359.63;61;35;0;372.51;0;816.29;0;0.65
3419.81;62;38;0;414.23;0;824.2;0;0.63
3479.66;63;40;0;408.87;0;847.12;0;0.63
3539.77;65;38;0;459.3;0;909.87;0;0.65
3599.73;65;41;0;485.96;0;944.43;0;0.65
3659.81;65;38;0;398.22;0;890.8;0;0.63
3719.87;66;35;0;369.25;0;802.96;0;0.59
3779.85;66;39;0;429.24;0;862.94;0;0.59
3839.76;66;42;0;489.15;0;922.85;0;0.59
3899.88;70;40;0;490.81;0;891.81;0;0.59
3959.85;70;44;0;550.79;0;951.79;0;0.59
4019.95;71;44;0;443.3;0;878.38;0;0.62
4079.96;72;42;0;354.66;0;838.56;0;0.61
4139.65;72;38;0;198.38;0;741.25;0;0.63
4199.8;72;39;0;172.26;0;713.72;0;0.64
4259.77;72;41;0;228;0;763.45;0;0.65
4319.91;72;40;0;265.87;0;739.33;0;0.62
4379.66;72;39;0;282.33;0;826.47;0;0.6
4439.89;73;34;0;261.73;0;779.39;0;0.6
4499.83;76;35;0;274.95;0;738.26;0;0.6
4559.81;78;39;0;309.06;0;778.74;0;0.6
4619.98;79;41;0;331.95;0;813.87;0;0.6
4679.82;80;41;0;316.69;0;788.75;0;0.59
4739.85;80;45;0;335.81;0;811.47;0;0.56
4799.85;83;42;0;330.29;0;906.15;0;0.56
4859.86;84;44;0;367.34;0;994.04;0;0.58
4919.8;84;42;0;420.93;0;1002.51;0;0.57
4979.97;86;41;0;442.11;0;1034.64;0;0.62
5039.63;87;37;0;449.61;0;944.14;0;0.61
5099.98;87;33;0;470.39;0;991.46;0;0.61
5160;87;29;0;429.66;0;940.46;0;0.58
5219.83;87;24;0;360.35;0;1008.41;0;0.55
5279.63;87;23;0;408.33;0;1078.41;0;0.57
5339.94;87;21;0;448.99;0;1139.38;0;0.6
5399.84;87;18;0;487.61;0;1279.84;0;0.6
5459.96;87;15;0;515.76;0;1223.74;0;0.66
5519.75;87;15;0;575.55;0;1283.53;0;0.66
5579.7;87;7;0;329.55;0;1342.88;0;0.64
5639.73;87;3;0;264.86;0;1392.59;0;0.63
5699.75;87;0;0;283.02;0;1390.47;0;0.63
5759.79;87;0;0;330.11;0;1461.77;0;0.61
5819.65;87;0;0;407.65;0;1496.06;0;0.66
5879.74;87;0;0;447.48;0;1604;0;0.67
5939.61;87;0;0;400.73;0;1390.16;0;0.66
5999.96;87;0;0;0;0;0;0;0
6059.59;87;0;0;0;0;0;0;0
6119.97;87;0;0;0;0;0;0;0
6179.82;87;0;0;0;0;0;0;0
6239.98;87;0;0;0;0;0;0;0
6299.83;87;0;0;0;0;0;0;0
6359.83;87;0;0;0;0;0;0;0
6419.83;87;0;0;0;0;0;0;0
6479.63;87;0;0;0;0;0;0;0
6539.92;87;0;0;0;0;0;0;0
6599.85;87;0;0;0;0;0;0;0
6659.92;87;0;0;0;0;0;0;0
6719.89;87;0;0;0;0;0;0;0
6779.83;87;0;0;0;0;0;0;0
6839.96;87;0;0;0;0;0;0;0
6899.61;87;0;0;0;0;0;0;0
6959.6;87;0;0;0;0;0;0;0
7019.94;87;0;0;0;0;0;0;0
7079.92;87;0;0;0;0;0;0;0
7140;87;0;0;0;0;0;0;0
7199.73;87;0;0;0;0;0;0;0
