#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.93;0.69;18;0;0;0;0;0;0;0;0;0
1199.72;0.69;18;0;0;0;0;0;0;0;0;0
1799.8;0.68;18;0;0;0;0;0;0;0;0;0
2399.94;0.68;18;0;0;0;0;0;0;0;0;0
2999.63;0.67;18;0;0;0;0;0;0;0;0;0
3599.73;0.67;18;0;0;0;0;0;0;0;0;0
4199.8;0.66;18;0;0;0;0;0;0;0;0;0
4799.85;0.65;18;0;0;0;0;0;0;0;0;0
5399.84;0.65;18;0;0;0;0;0;0;0;0;0
5999.96;0.64;18;0;0;0;0;0;0;0;0;0
6599.85;0.64;18;0;0;0;0;0;0;0;0;0
7199.73;0.64;18;0;0;0;0;0;0;0;0;0
