#TimeStamp;Bot;Pod;OutputStation
52.54;4;134;0
62.63;4;134;0
72.5;4;134;0
82.9;4;134;0
93.3;4;134;0
103.1;4;134;0
112.95;4;134;0
123.05;4;134;0
133.31;4;134;0
143.34;4;134;0
153.37;4;134;0
163.42;4;134;0
173.65;4;134;0
183.75;4;134;0
193.52;4;134;0
203.51;4;134;0
213.62;4;134;0
223.4;4;134;0
233.41;4;134;0
243.8;3;62;0
253.46;3;62;0
256.92;4;134;1
263.58;3;62;0
266.89;4;134;1
273.85;5;67;0
276.79;4;134;1
284.27;5;67;0
286.72;4;134;1
294.44;5;67;0
297.04;4;134;1
304.61;5;67;0
307.07;4;134;1
314.46;5;67;0
317.12;2;15;1
324.28;5;67;0
327.08;2;15;1
334.49;5;67;0
337;2;15;1
344.5;5;67;0
347.39;2;15;1
354.58;5;67;0
357.21;2;15;1
364.65;5;67;0
367.37;2;15;1
374.34;5;67;0
377.07;2;15;1
384.58;5;67;0
387.41;2;15;1
394.69;5;67;0
397.45;2;15;1
404.74;5;67;0
407.74;2;15;1
414.89;5;67;0
418.01;2;15;1
425.16;5;67;0
427.99;2;15;1
435.08;5;67;0
437.81;2;15;1
444.9;4;134;0
448.15;2;15;1
454.83;4;134;0
458.09;2;15;1
465.2;1;131;0
467.81;2;15;1
474.96;1;131;0
478.2;2;15;1
484.97;1;131;0
488.19;2;15;1
494.97;1;131;0
498.19;2;15;1
505.25;1;131;0
508.28;2;15;1
515.37;1;131;0
518.52;3;141;1
525.67;1;131;0
528.44;3;141;1
535.81;1;131;0
538.67;3;141;1
545.96;1;131;0
549;3;141;1
556.09;2;15;0
559.09;3;141;1
566.21;2;15;0
569.45;3;141;1
576.51;2;15;0
579.29;3;141;1
586.9;2;15;0
589.21;3;141;1
597.32;2;15;0
599.42;3;141;1
607.54;2;15;0
609.42;3;141;1
617.74;2;15;0
619.42;3;141;1
627.87;2;15;0
629.42;3;141;1
637.87;2;15;0
639.42;3;141;1
647.97;0;57;0
649.51;3;141;1
658.16;0;57;0
659.84;3;141;1
668.58;0;57;0
669.62;3;141;1
678.52;0;57;0
679.93;3;141;1
688.57;0;57;0
689.62;3;141;1
698.52;0;57;0
699.62;3;141;1
708.4;0;57;0
709.62;3;141;1
718.48;0;57;0
719.62;3;141;1
728.43;0;57;0
729.66;5;67;1
738.78;0;57;0
739.62;5;67;1
749.2;0;57;0
749.74;5;67;1
759.45;0;57;0
759.62;4;134;1
769.24;0;57;0
769.62;4;134;1
779.59;0;57;0
780;4;134;1
789.54;0;57;0
790.05;4;134;1
799.3;0;57;0
800.42;4;134;1
809.63;0;57;0
810.66;4;134;1
820;0;57;0
821;4;134;1
829.94;0;57;0
830.89;4;134;1
840;0;57;0
840.98;2;15;1
849.72;3;141;0
850.8;2;15;1
860.05;3;141;0
860.81;2;15;1
