% time handles
0 0
10 0
20 0
30 1
40 2
50 3
60 4
70 5
80 6
90 6
100 6
110 6
120 6
130 6
140 6
150 6
160 6
170 6
180 6
190 6
200 6
210 6
220 6
230 7
240 8
250 9
260 10
270 11
280 12
290 12
300 12
310 12
320 12
330 12
340 12
350 12
360 12
370 12
380 12
390 12
400 12
410 12
420 12
430 12
440 12
450 12
460 12
470 12
480 12
490 12
500 12
510 12
520 12
530 12
540 12
550 12
560 12
570 12
580 12
590 12
600 12
610 12
620 12
630 12
640 12
650 12
660 12
670 12
680 12
690 12
700 12
710 12
720 12
730 12
740 12
750 11
760 11
770 11
780 11
790 10
800 11
810 11
820 12
830 11
840 12
850 12
860 11
870 12
880 11
890 12
900 11
910 12
920 12
930 12
940 12
950 12
960 12
970 12
980 12
990 12
1000 12
1010 12
1020 11
1030 10
1040 9
1050 8
1060 7
1070 7
1080 8
1090 9
1100 9
1110 9
1120 9
1130 8
1140 7
1150 6
1160 6
1170 6
1180 6
1190 6
1200 7
1210 8
1220 9
1230 10
1240 11
1250 12
1260 12
1270 12
1280 12
1290 12
1300 12
1310 12
1320 12
1330 12
1340 12
1350 12
1360 12
1370 12
1380 12
1390 12
1400 12
1410 12
1420 12
1430 12
1440 12
1450 12
1460 12
1470 12
1480 12
1490 12
1500 12
1510 12
1520 12
1530 12
1540 12
1550 12
1560 11
1570 10
1580 9
1590 8
1600 8
1610 8
1620 9
1630 9
1640 9
1650 9
1660 8
1670 7
1680 6
1690 6
1700 7
1710 7
1720 8
1730 9
1740 10
1750 11
1760 10
1770 10
1780 9
1790 8
1800 7
1810 6
1820 7
1830 7
1840 7
1850 7
1860 7
1870 7
1880 6
1890 6
1900 6
1910 6
1920 7
1930 8
1940 9
1950 10
1960 11
1970 12
1980 12
1990 12
2000 12
2010 12
2020 12
2030 12
2040 12
2050 12
2060 12
2070 12
2080 12
2090 12
2100 12
2110 12
2120 12
2130 10
2140 10
2150 8
2160 8
2170 6
2180 6
2190 7
2200 7
2210 9
2220 9
2230 11
2240 11
2250 12
2260 12
2270 12
2280 11
2290 10
2300 9
2310 8
2320 7
2330 6
2340 7
2350 8
2360 9
2370 10
2380 11
2390 12
2400 12
2410 12
2420 12
2430 12
2440 11
2450 11
2460 11
2470 10
2480 9
2490 8
2500 10
2510 9
2520 9
2530 10
2540 11
2550 12
2560 11
2570 12
2580 12
2590 11
2600 10
2610 9
2620 8
2630 7
2640 6
2650 6
2660 6
2670 6
2680 6
2690 6
2700 6
2710 6
2720 6
2730 6
2740 6
2750 6
2760 7
2770 8
2780 9
2790 10
2800 11
2810 12
2820 12
2830 12
2840 12
2850 12
2860 12
2870 12
2880 12
2890 12
2900 12
2910 12
2920 12
2930 12
2940 12
2950 12
2960 12
2970 12
2980 12
2990 12
3000 12
3010 12
3020 12
3030 12
3040 12
3050 12
3060 12
3070 12
3080 12
3090 12
3100 12
3110 12
3120 12
3130 12
3140 12
3150 12
3160 12
3170 12
3180 12
3190 12
3200 12
3210 12
3220 11
3230 11
3240 11
3250 11
3260 11
3270 11
3280 12
3290 12
3300 12
3310 12
3320 12
3330 12
3340 12
3350 11
3360 10
3370 9
3380 9
3390 9
3400 9
3410 10
3420 10
3430 10
3440 9
3450 9
3460 9
3470 8
3480 8
3490 9
3500 9
3510 7
3520 5
3530 4
3540 4
3550 3
3560 3
3570 4
3580 6
3590 8
3600 9
3610 10
3620 11
3630 12
3640 12
3650 12
3660 12
3670 12
3680 12
3690 11
