#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
82.85;0;74.13;74.13;-Infinity
163.11;0;87.93;87.93;-Infinity
243.69;0;37.78;37.75;-Infinity
273.51;0;235.56;235.56;-Infinity
284.1;0;234.62;234.62;-Infinity
317.03;1;79.29;79.29;-Infinity
397.29;1;178.93;178.93;-Infinity
404.51;0;251.95;251.95;-Infinity
407.65;1;180.9;180.9;-Infinity
424.94;0;278.47;278.47;-Infinity
465.09;0;161.78;161.78;-Infinity
477.88;1;74.65;74.63;-Infinity
505.14;0;405.94;405.94;-Infinity
508.23;1;143.38;143.38;-Infinity
525.52;0;450.88;450.88;-Infinity
538.25;1;308.32;308.32;-Infinity
555.79;0;378.02;378.02;-Infinity
558.83;1;223.66;223.66;-Infinity
576.23;0;525.01;525.01;-Infinity
586.56;0;502.21;502.19;-Infinity
597.09;0;338.08;338.03;-Infinity
617.63;0;306.09;306.09;-Infinity
649.42;1;299.46;299.46;-Infinity
657.94;0;580.39;580.39;-Infinity
668.49;0;558.25;558.21;-Infinity
679.75;1;148.34;141.09;-Infinity
738.69;0;225.99;225.99;-Infinity
749.12;0;223.82;223.45;-Infinity
779.63;1;324.36;324.36;-Infinity
800.08;1;371.44;371.44;-Infinity
809.53;0;69.25;69.25;-Infinity
810.47;1;166.54;160.97;-Infinity
860;0;248.4;248.4;-Infinity
890.91;1;333.34;331.83;-Infinity
901.09;1;391.47;391.47;-Infinity
911.69;1;435.16;435.14;-Infinity
920;0;383.9;363.91;-Infinity
922.06;1;435.55;435.55;-Infinity
960.46;0;396.4;383.96;-Infinity
971.18;0;288.06;288.06;-Infinity
981.26;0;375.4;375.4;-Infinity
982.49;1;96.18;96.18;-Infinity
1001.76;0;350.87;343.6;-Infinity
1032.91;1;108.74;108.74;-Infinity
1043.31;1;118.24;118.22;-Infinity
1094.05;1;809.01;809.01;-Infinity
1104.23;1;701.65;701.65;-Infinity
1114.3;1;677.75;677.75;-Infinity
1124.52;1;889.49;889.49;-Infinity
1135.1;1;417.63;417.63;-Infinity
1235.23;1;224.49;224.49;-Infinity
1241.05;0;168.51;168.51;-Infinity
1255.79;1;256.29;256.29;-Infinity
1266.18;1;231.53;231.53;-Infinity
1321.57;0;132.83;132.83;-Infinity
1351.81;0;280.97;280.97;-Infinity
1372.13;0;966.58;966.58;-Infinity
1376.54;1;255.95;255.93;-Infinity
1436.96;1;207.41;201.37;-Infinity
1442.57;0;223.88;201.31;-Infinity
1457.3;1;596.58;596.57;-Infinity
1462.93;0;366.99;366.99;-Infinity
1472.96;0;859.43;855.22;-Infinity
1483.3;0;1056.69;1056.69;-Infinity
1493.82;0;976.83;976.83;-Infinity
1497.84;1;190.58;190.56;-Infinity
1514.41;0;342.92;342.92;-Infinity
1534.61;0;654.29;654.29;-Infinity
1548.77;1;585.54;585.54;-Infinity
1559.17;1;411.46;411.46;-Infinity
1579.59;1;469.44;469.41;-Infinity
1635.24;0;290.85;283.38;-Infinity
1645.35;0;325.42;323.67;-Infinity
1659.81;1;254.82;254.82;-Infinity
1695.08;0;489.18;489.18;-Infinity
1705.36;0;141.63;141.62;-Infinity
1725.45;0;95.64;95.64;-Infinity
1735.26;0;893.13;893.13;-Infinity
1745.54;0;378.28;373.26;-Infinity
