% time handles
0 0
10 0
20 0
30 0
40 0
50 0
60 1
70 1
80 1
90 1
100 1
110 1
120 0
130 0
140 1
150 1
160 1
170 1
180 1
190 1
200 0
210 0
220 1
230 1
240 1
250 2
260 3
270 3
280 2
290 3
300 3
310 2
320 1
330 1
340 1
350 0
360 0
370 1
380 3
390 3
400 4
410 4
420 4
430 3
440 2
450 3
460 2
470 2
480 4
490 4
500 4
510 4
520 4
530 6
540 4
550 5
560 5
570 5
580 5
590 4
600 4
610 3
620 3
630 3
640 4
650 4
660 4
670 4
680 3
690 2
700 1
710 1
720 2
730 2
740 2
750 3
760 3
770 2
780 3
790 4
800 4
810 3
820 3
830 3
840 2
850 1
860 1
870 2
880 3
890 4
900 5
910 5
920 5
930 4
940 4
950 4
960 4
970 4
980 5
990 5
1000 4
1010 4
1020 3
1030 3
1040 2
1050 2
1060 2
1070 2
1080 2
1090 3
1100 4
1110 5
1120 5
1130 4
1140 3
1150 2
1160 1
1170 0
1180 0
1190 0
1200 0
1210 1
1220 2
1230 3
1240 4
1250 4
1260 4
1270 3
1280 2
1290 1
1300 1
1310 1
1320 1
1330 2
1340 2
1350 4
1360 3
1370 3
1380 3
1390 2
1400 2
1410 1
1420 2
1430 3
1440 4
1450 5
1460 6
1470 7
1480 6
1490 6
1500 5
1510 5
1520 5
1530 4
1540 4
1550 4
1560 4
1570 3
1580 2
1590 1
1600 1
1610 1
1620 2
1630 3
1640 3
1650 3
1660 3
1670 3
1680 3
1690 2
1700 3
1710 4
1720 5
1730 5
1740 4
1750 4
1760 3
1770 2
1780 1
1790 0
1800 1
1810 1
1820 2
1830 2
1840 2
1850 2
1860 2
1870 2
1880 2
1890 2
1900 2
1910 3
1920 3
1930 4
1940 3
1950 3
1960 3
1970 2
1980 1
1990 1
2000 2
2010 2
2020 2
2030 2
2040 3
2050 3
2060 2
2070 2
2080 2
2090 3
2100 3
2110 3
2120 4
2130 5
2140 5
2150 4
2160 3
2170 2
2180 1
2190 0
2200 1
2210 1
2220 1
2230 2
2240 2
2250 2
2260 1
2270 1
2280 2
2290 1
2300 1
2310 1
2320 1
2330 2
2340 1
2350 2
2360 3
2370 5
2380 6
2390 5
2400 5
2410 5
2420 4
2430 3
2440 3
2450 3
2460 3
2470 3
2480 3
2490 3
2500 2
2510 2
2520 3
2530 2
2540 3
2550 3
2560 4
2570 4
2580 4
2590 4
2600 4
2610 3
2620 2
2630 2
2640 1
2650 1
2660 0
2670 0
2680 0
2690 0
2700 0
2710 0
2720 0
2730 1
2740 1
2750 1
2760 1
2770 2
2780 2
2790 2
2800 3
2810 3
2820 4
2830 3
2840 3
2850 3
2860 3
2870 3
2880 3
2890 4
2900 6
2910 7
2920 8
2930 9
2940 9
2950 9
2960 7
2970 5
2980 4
2990 3
3000 2
3010 1
3020 1
3030 1
3040 0
3050 0
3060 1
3070 1
3080 1
3090 2
3100 2
3110 3
3120 2
3130 2
3140 3
3150 2
3160 2
3170 3
3180 4
3190 5
3200 5
3210 6
3220 7
3230 5
3240 4
3250 3
3260 2
3270 2
3280 1
3290 2
3300 2
3310 2
3320 2
3330 1
3340 1
3350 0
3360 0
3370 0
3380 1
3390 1
3400 3
3410 4
3420 4
3430 4
3440 4
3450 4
3460 2
3470 2
3480 2
3490 2
3500 2
3510 3
3520 3
3530 2
3540 2
3550 2
3560 1
3570 1
3580 2
3590 3
3600 5
3610 6
3620 8
3630 7
3640 6
3650 6
3660 5
3670 6
3680 5
3690 6
