#TimeStamp;Runtime;Requests
0.88;0.03;6
2.93;0;1
4.02;0;2
5.43;0;2
6.43;0;3
7.52;0;1
8.72;0;1
9.98;0;3
11.19;0;1
12.45;0;2
13.69;0;1
14.77;0;1
15.81;0;2
17.19;0;1
18.28;0;1
19.33;0;3
20.33;0;1
21.37;0;1
22.42;0;2
24.91;0;1
26.04;0;1
27.58;0;1
28.71;0;1
31.98;0;1
33.25;0;3
34.42;0;2
35.72;0;1
36.85;0;1
38.59;0;2
41.86;0;1
44.01;0;1
45.97;0;1
47.02;0;1
48.41;0;1
49.48;0;2
50.48;0;2
51.53;0;1
54.24;0;1
55.32;0;1
57.54;0;1
58.62;0;2
59.67;0;1
61.29;0;1
62.59;0;1
65.81;0;1
66.94;0;2
68.12;0;1
69.37;0;1
70.65;0;2
71.83;0;1
73.93;0;1
75.33;0;1
76.51;0;3
78;0;1
79.24;0;1
81.34;0;1
86.75;0;1
89.12;0;1
90.21;0;1
92.25;0;2
93.34;0;1
95.56;0;1
98.42;0;1
101.97;0;1
103.06;0;1
104.14;0;1
107.64;0;1
108.73;0;1
110.78;0;1
116.09;0;1
117.43;0;1
119.75;0;1
121.76;0;1
125.05;0;1
126.05;0;1
127.1;0;1
129.5;0;1
133.31;0;1
134.54;0;1
137.68;0;1
142.25;0;1
148.97;0;1
150.19;0;1
152.27;0;1
153.33;0;1
156.46;0;1
157.51;0;1
158.76;0;1
162.44;0;1
163.8;0;1
164.89;0;1
166.94;0;1
172.88;0;1
175.77;0;1
178.19;0;1
180.73;0;1
181.82;0;1
185.32;0;1
187.99;0;1
190.19;0;1
193.32;0;1
198.16;0;1
199.16;0;2
202.42;0;1
206.59;0;1
207.89;0;1
214.22;0;1
215.24;0;1
219.01;0;1
221.5;0;1
226.8;0;1
228.09;0;1
229.33;0;1
230.85;0;1
234.15;0;1
235.45;0;1
236.45;0;1
237.47;0;2
238.52;0;1
239.56;0;1
240.6;0;2
241.6;0;2
242.77;0;1
243.8;0;1
244.89;0;1
246.53;0;1
249.61;0;1
250.64;0;1
256.87;0;1
259.06;0;1
260.58;0;1
265.41;0;1
267.49;0;1
268.58;0;1
271.75;0;1
272.84;0;1
274.89;0;1
277.71;0;1
279.85;0;1
281.16;0;1
283.01;0;1
285.35;0;1
287.3;0;1
290.36;0;1
292.51;0;1
296.41;0;1
297.69;0;1
301.86;0;1
304.69;0;1
306.07;0;1
307.07;0;1
308.12;0;2
310.21;0;1
311.3;0;1
312.89;0;1
314.94;0;1
316.8;0;1
318.15;0;2
319.15;0;3
320.19;0;1
321.24;0;1
322.24;0;2
323.24;0;1
324.24;0;1
325.33;0;1
327.03;0;1
328.04;0;2
330.33;0;1
334.49;0;1
335.49;0;1
336.54;0;1
337.58;0;1
338.63;0;2
341.92;0;1
344.46;0;1
346.92;0;1
348.05;0;1
349.14;0;1
363.13;0;1
