#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;36.89;0.13;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.72;38.1;0.34;PP/0.04,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
119.79;38.49;0.37;PP/0.04,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
179.7;38.52;0.4;PP/0.05,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
239.91;38.63;0.42;PP/0.05,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
299.73;38.64;0.45;PP/0.06,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.73;38.65;0.47;PP/0.06,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.6;38.65;0.49;PP/0.06,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
479.6;38.82;0.51;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
539.97;38.82;0.52;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
599.93;38.82;0.53;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
659.93;38.98;0.54;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
719.62;38.98;0.55;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
779.63;38.98;0.56;PP/0.08,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
839.68;39.17;0.58;PP/0.08,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
900;39.17;0.59;PP/0.08,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
959.95;39.17;0.6;PP/0.09,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1019.84;38.95;0.62;PP/0.09,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1079.91;38.95;0.64;PP/0.09,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1139.9;38.96;0.66;PP/0.1,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1199.72;38.96;0.68;PP/0.11,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1259.84;39.13;0.7;PP/0.11,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1319.93;39.13;0.72;PP/0.12,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1379.59;39.13;0.73;PP/0.12,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1439.97;39.34;0.75;PP/0.12,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1499.9;39.34;0.76;PP/0.13,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1559.78;39.34;0.78;PP/0.13,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1619.85;39.5;0.79;PP/0.13,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1679.95;39.5;0.82;PP/0.13,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1739.95;39.65;0.84;PP/0.14,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1799.8;39.65;0.86;PP/0.14,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1859.97;39.25;0.89;PP/0.15,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1919.65;39.25;0.9;PP/0.15,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1979.87;39.25;0.91;PP/0.16,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2039.97;39.25;0.92;PP/0.16,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2099.92;39.25;0.93;PP/0.16,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2159.8;39.25;0.94;PP/0.16,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2219.76;39.25;0.95;PP/0.16,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2279.64;39.39;0.96;PP/0.17,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2339.97;39.39;0.98;PP/0.17,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2399.94;39.39;0.99;PP/0.17,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2459.87;39.52;1.01;PP/0.17,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2519.73;39.52;1.03;PP/0.18,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2579.94;39.68;1.05;PP/0.18,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2639.78;39.68;1.07;PP/0.18,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2699.7;39.41;1.08;PP/0.19,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2759.91;39.41;1.1;PP/0.19,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2819.59;39.41;1.12;PP/0.2,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2879.74;39.44;1.14;PP/0.2,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2939.95;39.44;1.16;PP/0.21,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2999.63;39.62;1.17;PP/0.21,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3059.69;39.62;1.18;PP/0.21,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3119.7;39.62;1.19;PP/0.21,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3179.79;39.62;1.21;PP/0.22,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3239.99;39.79;1.23;PP/0.22,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3299.75;39.79;1.24;PP/0.23,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3359.63;40.03;1.26;PP/0.23,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3419.81;40.03;1.29;PP/0.24,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3479.66;39.75;1.31;PP/0.25,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3539.77;39.75;1.34;PP/0.25,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3599.73;39.75;1.36;PP/0.27,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3659.81;39.91;1.38;PP/0.27,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3719.87;39.91;1.39;PP/0.27,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3779.85;39.91;1.4;PP/0.27,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3839.76;40.01;1.41;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3899.88;40.06;1.43;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
3959.85;40.06;1.44;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4019.95;40.06;1.45;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4079.96;40.09;1.46;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4139.65;40.18;1.47;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4199.8;40.18;1.49;PP/0.28,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4259.77;40.43;1.5;PP/0.29,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4319.91;40.41;1.52;PP/0.29,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4379.66;40.41;1.54;PP/0.29,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4439.89;40.64;1.55;PP/0.3,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4499.83;40.64;1.57;PP/0.3,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4559.81;40.1;1.59;PP/0.31,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4619.98;40.1;1.61;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4679.82;40.1;1.63;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4739.85;40.1;1.64;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4799.85;40.1;1.65;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4859.86;40.24;1.65;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4919.8;40.24;1.66;PP/0.32,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4979.97;40.24;1.68;PP/0.33,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5039.63;40.48;1.7;PP/0.33,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5099.98;40.48;1.71;PP/0.34,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5160;40.48;1.73;PP/0.34,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5219.83;40.14;1.75;PP/0.34,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5279.63;40.14;1.76;PP/0.34,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5339.94;40.14;1.78;PP/0.35,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5399.84;40.14;1.79;PP/0.35,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5459.96;40.27;1.81;PP/0.36,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5519.75;40.27;1.83;PP/0.36,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5579.7;40.27;1.85;PP/0.36,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5639.73;40.39;1.86;PP/0.36,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5699.75;40.39;1.88;PP/0.37,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5759.79;40.33;1.91;PP/0.38,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5819.65;40.33;1.93;PP/0.39,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5879.74;40.33;1.95;PP/0.39,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5939.61;40.51;1.98;PP/0.41,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
5999.96;40.68;2.02;PP/0.42,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6059.59;40.49;2.05;PP/0.43,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6119.97;40.49;2.08;PP/0.44,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6179.82;40.78;2.11;PP/0.45,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6239.98;40.49;2.14;PP/0.45,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6299.83;40.49;2.17;PP/0.46,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6359.83;40.65;2.2;PP/0.47,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6419.83;40.89;2.23;PP/0.49,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6479.63;40.64;2.26;PP/0.5,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6539.92;40.64;2.3;PP/0.51,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6599.85;40.59;2.33;PP/0.52,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6659.92;40.63;2.37;PP/0.53,TA/0.2,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6719.89;40.75;2.39;PP/0.54,TA/0.2,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6779.83;40.64;2.42;PP/0.54,TA/0.21,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6839.96;40.64;2.46;PP/0.56,TA/0.22,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6899.61;40.64;2.49;PP/0.57,TA/0.22,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
6959.6;40.82;2.52;PP/0.58,TA/0.23,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
7019.94;41.17;2.56;PP/0.59,TA/0.24,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
7079.92;41.34;2.59;PP/0.6,TA/0.24,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
7140;40.75;2.62;PP/0.61,TA/0.25,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
7199.73;40.75;2.64;PP/0.62,TA/0.25,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
