#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.72;0;0;0;2;0/59.72;0/52.88,1/59.72;0/0;0/59.72,1/59.72;0/0;0/4,1/0;0/0;0/14,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/1,1/0
119.79;0;0;0;2;0/119.79;0/54.66,1/119.79;0/0;0/119.79,1/119.79;0/0;0/18,1/0;0/0;0/30,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/7,1/0
179.7;0;0;0;2;0/179.7;0/55.92,1/179.7;0/0;0/179.7,1/179.7;0/0;0/21,1/0;0/0;0/32,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/13,1/0
239.91;0;0;0;2;0/239.91;0/57.51,1/239.91;0/0;0/239.91,1/239.91;0/0;0/21,1/6;0/0;0/29,1/19;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/19,1/0
299.73;0;2;0;2;0/299.73;0/59.9,1/257.91;0/0;0/299.73,1/299.73;0/0;0/24,1/9;0/0;0/26,1/20;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/25,1/5
359.73;0;3;0;2;0/359.73;0/61.08,1/259.39;0/0;0/359.73,1/359.73;0/0;0/16,1/18;0/0;0/26,1/23;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/31,1/11
419.6;0;3;0;2;0/419.6;0/62.58,1/260.96;0/0;0/419.6,1/419.6;0/0;0/13,1/4;0/0;0/26,1/26;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/37,1/17
479.6;0;5;0;2;0/479.6;0/64.09,1/262.39;0/0;0/479.6,1/479.6;0/0;0/16,1/7;0/0;0/23,1/30;0/0;0/0,1/0;0/0;0/4,1/1;0/0;0/43,1/23
539.97;0;6;0;2;0/539.97;0/66.31,1/264.16;0/0;0/539.97,1/539.97;0/0;0/16,1/16;0/0;0/26,1/33;0/0;0/0,1/0;0/0;0/4,1/2;0/0;0/49,1/29
599.93;0;7;0;2;0/599.93;0/69.52,1/265.58;0/0;0/599.93,1/599.93;0/0;0/11,1/19;0/0;0/26,1/30;0/0;0/0,1/0;0/0;0/5,1/2;0/0;0/55,1/35
659.93;0;8;0;2;0/659.93;0/71.67,1/266.53;0/0;0/659.93,1/659.93;0/0;0/23,1/8;0/0;0/32,1/27;0/0;0/0,1/0;0/0;0/6,1/2;0/0;0/61,1/41
