% time distance
59.72 207.27
119.79 206.21
179.7 127.96
239.91 115.19
299.73 167.82
359.73 129.52
419.6 150.09
479.6 70.69
539.97 61.25
599.93 87.45
659.93 65.55
719.62 37.28
779.63 87.72
839.68 40.92
900 105.26
959.95 70.83
1019.84 65.43
1079.91 109.04
1139.9 117.56
1199.72 126.76
1259.84 138.78
1319.93 106.4
1379.59 107.54
1439.97 71.54
1499.9 120.44
1559.78 117.17
1619.85 98.22
1679.95 199.44
1739.95 209.01
1799.8 136.45
1859.97 162.55
1919.65 94.84
1979.87 73.84
2039.97 49
2099.92 15
2159.8 11.85
2219.76 75.41
2279.64 34.62
2339.97 101.55
2399.94 81.42
2459.87 104.76
2519.73 162.39
2579.94 103.92
2639.78 113.68
2699.7 78.64
2759.91 144.04
2819.59 157.26
2879.74 103.46
2939.95 67.98
2999.63 42
3059.69 39.84
3119.7 61.79
3179.79 66.3
3239.99 121.35
3299.75 76.22
3359.63 111.51
3419.81 161.38
3479.66 132.22
3539.77 216.79
3599.73 204.11
3659.81 76.35
3719.87 76.51
3779.85 35.17
3839.76 69.2
3899.88 52.25
3959.85 54
4019.95 53.75
4079.96 53.25
4139.65 75.7
4199.8 117.46
4259.77 70.58
4319.91 90.18
4379.66 108.45
4439.89 74.22
4499.83 135.63
4559.81 137.79
4619.98 125.62
4679.82 77.87
4739.85 71.96
4799.85 31.55
4859.86 0
4919.8 44.9
4979.97 156.16
5039.63 98.57
5099.98 72.7
5160 114.8
5219.83 122.39
5279.63 123.58
5339.94 86.91
5399.84 100.93
5459.96 148.65
5519.75 115.96
5579.7 100.45
5639.73 84.65
5699.75 138.64
5759.79 186.85
5819.65 135.82
5879.74 172.29
5939.61 238.12
5999.96 233.9
6059.59 211.08
6119.97 213.13
6179.82 223.19
6239.98 231.93
6299.83 215.73
6359.83 228.91
6419.83 215.16
6479.63 257.32
6539.92 207.23
6599.85 207.06
6659.92 193.17
6719.89 243.1
6779.83 219.91
6839.96 196.73
6899.61 202.79
6959.6 197.22
7019.94 213.78
7079.92 238.36
7140 224.4
7199.73 210.92
