#TimeStamp;TripTime;Type
46;21;O
89;23;O
111;38;O
251;15;O
274;33;O
326;16;O
425;34;O
428;40;O
452;14;O
473;15;O
526;14;O
584;34;O
656;15;O
738;15;O
752;23;O
858;15;O
909;28;O
939;15;O
1050;14;O
1090;13;O
1137;16;O
1216;34;O
1235;34;O
1306;12;O
1339;14;O
1372;26;O
1384;14;O
1455;29;O
1522;24;O
1525;14;O
1598;15;O
1618;13;O
1643;15;O
1654;15;O
1689;28;O
1724;16;O
1747;33;O
1752;34;O
1778;15;O
1835;16;O
1853;33;O
1859;15;O
1926;29;O
1935;14;O
2046;22;O
2207;14;O
2313;16;O
2358;23;O
2368;14;O
2413;16;O
2470;15;O
2473;15;O
2503;14;O
2515;46;O
2560;14;O
2591;15;O
2621;15;O
2716;28;O
2774;13;O
2833;28;O
2880;21;O
2889;14;O
2921;14;O
3085;14;O
3124;14;O
3155;15;O
3217;15;O
3228;17;O
3233;32;O
3378;14;O
3395;14;O
3409;27;O
3431;16;O
3450;15;O
3465;13;O
3506;13;O
3556;19;O
3564;34;O
3573;43;O
3594;28;O
3636;27;O
3690;14;O
3735;28;O
3791;13;O
3842;14;O
3922;23;O
3954;15;O
3956;14;O
3994;15;O
4064;15;O
4068;28;O
4123;19;O
4141;31;O
4148;14;O
4206;15;O
4207;33;O
4287;15;O
4358;16;O
4380;15;O
4493;15;O
4556;15;O
4572;21;O
4593;15;O
4626;17;O
4643;14;O
4678;14;O
4739;15;O
4749;31;O
4750;16;O
4761;17;O
4946;14;O
4973;23;O
5042;34;O
5088;14;O
5101;15;O
5119;25;O
5154;14;O
5177;22;O
5212;14;O
5233;15;O
5253;14;O
5271;32;O
5326;14;O
5459;30;O
5531;23;O
5738;14;O
5742;29;O
5775;33;O
5801;15;O
5810;15;O
5906;25;O
5963;37;O
