#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.94;2;0;0;23.09;0;23.09;0;0.56
119.98;3;0;0;53.12;0;53.13;0;0.58
179.96;5;0;0;80.08;0;80.08;0;0.63
239.98;6;0;0;89.79;0;89.8;0;0.55
299.94;6;0;0;136.22;0;136.22;0;0.56
359.66;7;0;0;166.61;0;166.62;0;0.52
419.98;7;2;0;211.04;0;211.05;0;0.52
479.68;8;7;0;270.74;0;270.75;0;0.49
539.7;11;12;0;297.86;0;308.79;0;0.48
599.82;11;13;0;344.5;0;360.23;0;0.49
659.71;13;18;0;404.4;0;420.12;0;0.48
719.97;16;19;0;440.01;0;465.63;0;0.46
779.97;17;20;0;500.01;0;525.62;0;0.46
839.8;17;20;0;559.84;0;585.45;0;0.46
899.78;19;25;0;619.82;0;645.44;0;0.48
959.89;20;27;0;679.93;0;705.54;0;0.49
1019.68;21;28;0;670.59;0;719.2;0;0.49
1079.65;23;31;0;688.99;0;760.17;0;0.51
1139.99;25;33;0;668.95;0;781.16;0;0.52
1199.76;25;36;0;683.47;0;799.86;0;0.53
1259.95;25;39;0;743.65;0;860.04;0;0.55
1319.94;29;40;0;710.56;0;845.61;0;0.51
1379.84;31;41;0;719.6;0;892.65;0;0.52
1439.81;32;42;0;779.58;0;952.62;0;0.52
1499.82;32;41;0;791.08;0;1001.01;0;0.52
1559.89;34;42;0;800.85;0;1029.1;0;0.54
1619.7;35;44;0;860.65;0;1088.9;0;0.56
1679.95;35;48;0;859.49;0;1135.66;0;0.57
1739.71;37;53;0;919.24;0;1195.41;0;0.53
1800;38;58;0;979.54;0;1255.7;0;0.53
1859.96;38;67;0;1039.49;0;1315.66;0;0.57
1919.88;38;68;0;1026.99;0;1333.46;0;0.57
1979.93;38;73;0;1087.04;0;1393.51;0;0.58
2039.78;38;78;0;1076.63;0;1390.33;0;0.57
2099.77;41;80;0;1065.1;0;1387.46;0;0.57
2159.87;41;79;0;971.59;0;1358.28;0;0.56
2219.97;43;83;0;950.33;0;1380.06;0;0.58
2279.99;44;89;0;1010.34;0;1440.08;0;0.57
2339.92;45;89;0;1001.55;0;1443.94;0;0.58
2399.98;46;87;0;873.65;0;1325.37;0;0.58
2459.9;46;92;0;888.41;0;1383.99;0;0.57
2519.83;46;95;0;859.79;0;1412.84;0;0.57
2579.99;47;97;0;835.67;0;1468;0;0.57
2639.91;48;106;0;895.59;0;1527.93;0;0.56
2699.77;49;109;0;867.57;0;1502.23;0;0.55
2759.74;51;115;0;860.5;0;1534.03;0;0.53
2819.84;53;119;0;849.11;0;1521.49;0;0.53
2879.87;53;124;0;909.14;0;1581.52;0;0.53
2939.94;53;127;0;969.22;0;1641.59;0;0.52
2999.72;53;128;0;924.1;0;1519.69;0;0.53
3059.8;53;130;0;904.33;0;1499.69;0;0.52
3119.85;55;132;0;873.15;0;1460.09;0;0.53
3179.8;57;133;0;849.44;0;1543.4;0;0.54
3239.83;60;134;0;863.95;0;1576.64;0;0.54
3299.99;60;137;0;917.01;0;1581.66;0;0.54
3359.95;61;140;0;976.97;0;1641.62;0;0.55
3419.61;62;143;0;936.8;0;1601.62;0;0.56
