#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.82;0.7;18;0;0;0;0;0;0;0;0;0
1199.76;0.7;18;0;0;0;0;0;0;0;0;0
1800;0.7;18;0;0;0;0;0;0;0;0;0
2399.98;0.69;18;0;0;0;0;0;0;0;0;0
2999.72;0.69;18;0;0;0;0;0;0;0;0;0
3599.82;0.69;18;0;0;0;0;0;0;0;0;0
4199.95;0.69;18;0;0;0;0;0;0;0;0;0
4799.95;0.69;18;0;0;0;0;0;0;0;0;0
5399.82;0.69;18;0;0;0;0;0;0;0;0;0
5999.89;0.68;18;0;0;0;0;0;0;0;0;0
6599.8;0.68;18;0;0;0;0;0;0;0;0;0
7199.83;0.68;18;0;0;0;0;0;0;0;0;0
