#TimeStamp;Bot;Pod;OutputStation
60.56;5;165;0
74.1;3;125;0
113.27;4;168;0
136.96;2;93;0
159.25;3;27;0
168.95;5;25;0
184.11;0;84;0
200.86;1;98;0
210.86;4;127;0
220.91;2;155;0
267.4;3;12;0
280.04;1;108;0
301.94;2;0;0
311.96;4;20;0
346.28;1;100;1
367.93;0;40;1
377.81;3;26;1
396.63;2;15;1
409.47;1;91;0
423.07;5;27;1
427.15;4;24;0
444.11;0;80;1
493.23;2;102;0
511.59;5;15;1
521.65;4;97;1
528.86;1;42;0
531.73;3;20;1
541.78;0;110;1
607.32;5;47;1
625.95;1;167;0
638.12;0;67;1
640.21;3;35;0
655.89;2;38;0
730.36;3;74;0
746.33;4;38;0
810.75;3;30;0
819.09;2;66;1
828.79;4;54;0
880;3;97;0
897.27;2;69;0
905.56;0;105;1
945.14;3;24;0
971.64;1;155;1
982.06;2;139;0
1000.87;0;133;1
1004.6;3;159;0
1062.83;1;168;0
1080;2;130;0
1121.07;3;123;1
1122.12;0;88;0
1160.17;1;113;0
1171.49;2;39;0
1203.17;3;47;0
1215.04;5;76;1
1250.21;0;33;0
1264.03;2;132;0
1270.21;4;77;1
1288.35;5;125;1
1294.2;3;163;0
1343;2;75;1
1356.72;4;113;0
1365;3;151;1
1375.81;5;65;1
1414.25;2;63;1
1438.96;4;128;1
1468.41;3;103;1
1500.7;0;122;1
1549.85;1;109;1
1559.53;2;42;1
1595.58;0;96;0
1616.15;4;164;0
1639.32;1;99;1
1670.69;0;70;1
1692.35;4;14;1
1733.49;0;83;1
1748.35;5;35;1
1757.47;3;88;0
1767.35;1;51;0
1774.35;4;129;1
1829.31;0;43;0
1858.75;3;169;1
1882.09;1;4;0
1905.64;0;145;0
1906.5;2;95;1
1916.82;5;76;1
1929.38;3;140;0
1964.58;1;148;0
1987.61;2;132;1
2004.89;5;49;0
2017.05;0;135;0
2041.52;1;93;1
2078.21;2;157;1
2113.02;0;49;1
2124.24;3;1;0
2125.12;1;101;1
2159.04;5;26;0
2169.27;2;11;0
2220.68;1;97;0
2231.28;3;143;1
2244.48;2;164;1
2254.53;5;22;1
2295.39;0;165;0
2305.51;1;88;0
2322.44;2;102;1
2335.44;4;47;1
2336.11;5;109;0
2345.81;3;118;1
2376.98;0;137;0
2391.43;2;2;1
2402.36;5;9;0
2440.57;4;126;0
2442.04;3;32;1
2465.37;2;132;1
2475.72;5;100;1
2485.6;0;84;1
2537.73;4;90;0
2544.18;3;48;1
2578.43;2;111;1
2585.98;0;61;0
2630.73;4;144;1
2640.63;3;31;1
2690.4;0;35;1
2710.49;4;164;0
2729.84;3;92;1
2733.86;1;64;0
2769.84;0;156;1
2778.5;4;147;0
2799.96;5;138;0
2816.47;3;168;0
2833.21;2;70;0
2877.56;0;120;0
2877.56;5;71;1
2887.73;3;17;1
2908.32;2;55;1
2930.04;4;60;0
2952.3;5;99;0
2962.42;0;133;1
2962.62;3;145;0
2977.54;1;2;0
2994.34;2;65;0
3038.65;4;59;0
3053.57;5;146;0
3065.66;3;3;0
3066.37;1;33;1
3081.67;0;113;0
3105.96;2;26;1
3131.56;4;1;0
3145.08;3;63;1
3151.18;5;149;0
3168.1;1;150;0
3187.66;2;39;1
3205.54;0;110;1
3218.17;4;139;1
3236.74;5;64;1
3246.79;3;53;1
3246.96;1;140;0
3271;2;31;0
3292.21;0;23;1
3306.03;4;15;0
3316.42;1;70;1
3357.86;2;132;1
3367.62;3;4;1
3393.83;0;9;1
3403.47;1;61;1
3413.85;4;12;1
3429.59;2;3;0
3452.77;3;162;0
3483.03;1;71;0
3484.8;0;112;1
3527.16;3;108;0
3528.17;2;10;1
3557.5;0;126;1
3568.63;4;39;0
3588.15;1;21;1
3609.6;2;92;1
3657.8;4;165;1
3696.9;3;85;1
3710.56;2;86;0
3786.61;3;125;1
3803.71;5;104;1
3827.05;2;163;0
3841.82;4;20;0
3919.67;5;15;1
3964.6;0;92;0
4013.55;1;29;1
4023.6;5;2;1
4070.14;3;44;1
4070.74;0;89;0
4082.86;1;149;0
4113.09;5;54;0
4177.54;0;117;0
4187.21;5;83;1
4193.72;3;42;0
4203.97;2;167;0
4250.44;0;109;1
4273.91;5;5;0
4292.66;2;88;1
4296.74;4;159;0
4316.34;3;3;1
4331.13;0;94;0
4367.07;5;127;0
4381.33;2;8;1
4391.14;4;116;1
4405.67;3;55;1
4415.91;0;168;1
4456.72;5;91;1
4473.55;4;48;0
4478.64;3;35;1
4483.56;2;46;0
4499.16;0;23;0
4550.02;5;22;0
4560.94;4;28;1
4563.92;2;131;0
4645.2;2;7;1
4647.66;4;154;0
4660.42;5;34;1
4743.82;2;162;1
4743.9;5;134;0
4754.3;4;35;0
4788.56;3;65;1
4810.48;2;8;1
4856.22;4;38;1
4884.19;2;87;0
4905.72;0;75;0
4915.35;3;55;0
4946.01;4;88;0
4970.01;2;131;0
4993.44;3;70;0
5037.82;1;7;0
5049.75;4;43;1
5130.19;1;9;1
5173.52;5;130;1
5183.64;4;138;1
5217.45;3;47;1
5258.71;1;8;1
5266.43;4;163;0
5282.39;5;160;0
5338.98;0;121;1
5346.44;1;59;0
5368.52;4;122;0
5384.31;5;80;1
5403;3;10;1
5413.13;0;131;0
5447.29;1;141;0
5457.97;5;167;1
5472.55;2;11;1
5490.45;3;139;1
5515.04;0;32;1
5534.28;5;77;1
5543.93;4;43;0
5592.89;0;139;1
5610.39;5;47;1
5631.19;4;120;1
5689.43;0;98;1
5714.49;5;63;1
5724;4;52;0
5762.14;2;21;0
5775.04;0;23;0
5780;4;82;1
5808.68;5;119;1
5846.16;1;73;1
5846.34;4;132;0
5858.81;2;59;0
5877.35;0;92;1
5881.05;5;162;0
5917.93;4;45;1
5934.09;1;133;1
5963.09;2;49;1
5966.95;0;97;0
5981.16;4;145;1
6008.42;1;151;0
6038.41;0;23;0
6064.03;2;102;0
6083.66;4;148;0
6090.26;1;131;1
6125.61;5;139;0
6141.7;0;108;1
6160.1;4;15;0
6172.29;2;78;1
6202.95;1;62;0
6213.14;5;165;0
6227.46;0;169;0
6257.06;4;98;0
6263.35;2;46;1
6306.44;5;49;0
6323.98;1;126;0
6328.7;4;128;1
6362.74;2;3;0
6372.87;3;121;0
6382.74;0;112;0
6396.23;5;167;0
6396.5;1;55;1
6455.12;2;100;0
6463.29;1;58;1
6504.15;5;115;1
6532.38;2;59;0
6559.07;1;128;1
6591.82;5;27;1
6593.58;4;68;0
6603.96;0;162;0
6618.25;2;147;0
6655.39;1;61;0
6672.83;5;146;0
6720.27;2;19;1
6721.2;1;32;0
6753.82;5;71;0
6780.42;1;155;0
6817.2;3;84;0
6840.46;2;10;0
6858.37;5;105;0
6881.03;1;96;0
6899.22;3;2;1
6931.46;2;51;1
6970.45;0;141;1
6980.42;5;41;1
6990.94;1;19;0
7001.94;3;163;1
7014.04;4;106;1
7060;5;99;1
7065.72;0;63;0
7084.07;1;32;1
7086.71;3;101;0
7112.27;4;113;0
7145.27;0;73;1
7155.34;5;62;1
7165.67;1;151;1
7189.79;3;12;1
