% time handles
0 0
10 0
20 0
30 0
40 1
50 2
60 2
70 2
80 2
90 3
100 2
110 2
120 2
130 3
140 4
150 3
160 4
170 3
180 4
190 4
200 4
210 4
220 3
230 3
240 3
250 2
260 2
270 2
280 3
290 4
300 3
310 3
320 3
330 3
340 3
350 3
360 3
370 4
380 4
390 4
400 5
410 4
420 5
430 4
440 3
450 3
460 1
470 2
480 1
490 2
500 4
510 5
520 6
530 5
540 5
550 4
560 2
570 1
580 1
590 1
600 2
610 3
620 4
630 5
640 4
650 4
660 3
670 2
680 1
690 0
700 0
710 1
720 2
730 2
740 2
750 2
760 2
770 1
780 0
790 2
800 3
810 3
820 3
830 3
840 3
850 1
860 1
870 2
880 3
890 3
900 3
910 3
920 3
930 2
940 1
950 2
960 3
970 3
980 4
990 4
1000 4
1010 3
1020 2
1030 2
1040 1
1050 1
1060 2
1070 2
1080 2
1090 2
1100 3
1110 3
1120 2
1130 2
1140 3
1150 4
1160 2
1170 2
1180 3
1190 4
1200 3
1210 2
1220 2
1230 3
1240 3
1250 3
1260 4
1270 5
1280 5
1290 4
1300 3
1310 2
1320 2
1330 2
1340 3
1350 4
1360 4
1370 4
1380 3
1390 3
1400 2
1410 2
1420 2
1430 2
1440 3
1450 2
1460 2
1470 1
1480 2
1490 2
1500 1
1510 1
1520 2
1530 3
1540 2
1550 2
1560 2
1570 3
1580 2
1590 2
1600 2
1610 3
1620 3
1630 2
1640 2
1650 2
1660 2
1670 2
1680 2
1690 2
1700 2
1710 2
1720 3
1730 3
1740 4
1750 5
1760 5
1770 4
1780 3
1790 2
1800 2
1810 1
1820 1
1830 2
1840 2
1850 2
1860 2
1870 2
1880 4
1890 4
1900 5
1910 5
1920 4
1930 4
1940 3
1950 2
1960 2
1970 2
1980 3
1990 4
2000 3
2010 3
2020 3
2030 3
2040 2
2050 2
2060 2
2070 2
2080 1
2090 2
2100 4
2110 3
2120 3
2130 4
2140 5
2150 4
2160 2
2170 2
2180 2
2190 1
2200 1
2210 2
2220 3
2230 4
2240 4
2250 4
2260 3
2270 3
2280 3
2290 2
2300 3
2310 5
2320 6
2330 5
2340 4
2350 5
2360 4
2370 3
2380 3
2390 3
2400 3
2410 2
2420 4
2430 3
2440 3
2450 4
2460 5
2470 5
2480 3
2490 3
2500 2
2510 2
2520 2
2530 2
2540 2
2550 3
2560 4
2570 3
2580 2
2590 2
2600 2
2610 2
2620 2
2630 2
2640 2
2650 2
2660 2
2670 2
2680 1
2690 2
2700 3
2710 4
2720 4
2730 3
2740 4
2750 4
2760 3
2770 3
2780 3
2790 4
2800 3
2810 3
2820 3
2830 2
2840 2
2850 3
2860 4
2870 3
2880 4
2890 4
2900 4
2910 3
2920 2
2930 3
2940 4
2950 5
2960 5
2970 5
2980 5
2990 4
3000 2
3010 2
3020 2
3030 2
3040 4
3050 4
3060 5
3070 4
3080 5
3090 4
3100 2
3110 3
3120 3
3130 4
3140 4
3150 4
3160 5
3170 4
3180 4
3190 4
3200 3
3210 4
3220 5
3230 5
3240 4
3250 4
3260 4
3270 4
3280 3
3290 4
3300 4
3310 3
3320 3
3330 3
3340 3
3350 2
3360 2
3370 3
3380 4
3390 4
3400 4
3410 4
3420 4
3430 4
3440 3
3450 2
3460 3
3470 3
3480 3
3490 2
3500 4
3510 4
3520 2
3530 3
3540 4
3550 4
3560 3
3570 3
3580 4
3590 3
3600 2
3610 2
3620 1
3630 2
3640 1
3650 1
3660 1
3670 2
3680 2
3690 2
