% time handles
0 0
10 0
20 0
30 0
40 0
50 0
60 0
70 0
80 0
90 0
100 0
110 0
120 1
130 1
140 1
150 2
160 2
170 2
180 1
190 1
200 2
210 1
220 1
230 1
240 1
250 1
260 0
270 0
280 0
290 0
300 0
310 0
320 0
330 0
340 0
350 0
360 0
370 0
380 0
390 0
400 0
410 0
420 0
430 0
440 0
450 0
460 0
470 0
480 0
490 0
500 0
510 2
520 3
530 3
540 3
550 3
560 3
570 1
580 0
590 0
600 0
610 0
620 0
630 0
640 1
650 1
660 1
670 1
680 1
690 1
700 0
710 0
720 0
730 0
740 0
750 0
760 0
770 0
780 0
790 0
800 0
810 0
820 0
830 0
840 0
850 0
860 0
870 0
880 0
890 0
900 0
910 0
920 0
930 0
940 0
950 0
960 1
970 2
980 2
990 2
1000 2
1010 2
1020 1
1030 0
1040 0
1050 1
1060 1
1070 1
1080 1
1090 1
1100 1
1110 2
1120 2
1130 2
1140 2
1150 3
1160 3
1170 1
1180 1
1190 1
1200 1
1210 0
1220 0
1230 0
1240 0
1250 0
1260 0
1270 1
1280 2
1290 2
1300 2
1310 2
1320 2
1330 1
1340 1
1350 1
1360 1
1370 1
1380 1
1390 1
1400 0
1410 0
1420 1
1430 1
1440 1
1450 1
1460 1
1470 1
1480 0
1490 1
1500 1
1510 1
1520 1
1530 1
1540 1
1550 0
1560 0
1570 0
1580 0
1590 0
1600 1
1610 1
1620 1
1630 1
1640 1
1650 1
1660 0
1670 0
1680 0
1690 0
1700 0
1710 0
1720 0
1730 0
1740 0
1750 0
1760 0
1770 0
1780 0
1790 0
1800 0
1810 0
1820 0
1830 0
1840 0
1850 0
1860 0
1870 0
1880 0
1890 1
1900 1
1910 1
1920 1
1930 1
1940 1
1950 0
1960 0
1970 1
1980 1
1990 1
2000 1
2010 1
2020 1
2030 1
2040 1
2050 1
2060 1
2070 1
2080 1
2090 0
2100 1
2110 2
2120 2
2130 2
2140 2
2150 3
2160 2
2170 1
2180 1
2190 1
2200 1
2210 0
2220 0
2230 0
2240 0
2250 0
2260 0
2270 0
2280 0
2290 1
2300 1
2310 1
2320 3
2330 3
2340 3
2350 2
2360 3
2370 3
2380 1
2390 1
2400 1
2410 1
2420 0
2430 1
2440 1
2450 2
2460 2
2470 2
2480 2
2490 1
2500 1
2510 0
2520 0
2530 1
2540 1
2550 1
2560 1
2570 1
2580 1
2590 0
2600 0
2610 0
2620 0
2630 1
2640 1
2650 1
2660 1
2670 1
2680 1
2690 0
2700 0
2710 0
2720 1
2730 1
2740 1
2750 1
2760 2
2770 2
2780 1
2790 1
2800 1
2810 1
2820 0
2830 0
2840 0
2850 0
2860 0
2870 0
2880 0
2890 0
2900 0
2910 0
2920 0
2930 0
2940 0
2950 1
2960 2
2970 2
2980 2
2990 2
3000 2
3010 1
3020 1
3030 1
3040 1
3050 2
3060 2
3070 2
3080 1
3090 2
3100 2
3110 1
3120 1
3130 1
3140 1
3150 1
3160 1
3170 1
3180 1
3190 2
3200 2
3210 1
3220 2
3230 2
3240 2
3250 1
3260 1
3270 1
3280 0
3290 0
3300 0
3310 0
3320 0
3330 0
3340 0
3350 1
3360 1
3370 1
3380 1
3390 1
3400 2
3410 1
3420 1
3430 1
3440 1
3450 1
3460 0
3470 1
3480 1
3490 1
3500 1
3510 1
3520 1
3530 0
3540 1
3550 1
3560 1
3570 1
3580 1
3590 1
3600 0
3610 0
3620 0
3630 0
3640 0
3650 0
3660 0
3670 0
3680 0
3690 0
