#TimeStamp;Runtime;Requests
0.88;0.03;6
3.55;0;1
4.8;0;3
6.22;0;1
7.43;0;3
8.69;0;1
9.69;0;1
10.97;0;1
12.02;0;1
14.55;0;1
15.86;0;1
17.18;0;1
18.31;0;1
21.74;0;1
24.5;0;1
25.61;0;1
26.72;0;2
27.77;0;2
29.09;0;2
30.84;0;1
31.89;0;2
32.98;0;1
34.18;0;1
35.4;0;1
36.64;0;1
37.95;0;1
39.99;0;1
41.11;0;1
43.08;0;1
44.4;0;2
45.7;0;1
46.73;0;1
48.08;0;1
49.16;0;1
50.47;0;2
52.05;0;1
54.64;0;1
57.55;0;2
59.89;0;1
61.2;0;1
63.73;0;1
64.89;0;3
66.93;0;1
68.01;0;1
69.1;0;1
70.47;0;2
72.59;0;1
75.1;0;2
76.64;0;1
77.97;0;2
80.6;0;1
82.01;0;1
83.18;0;1
84.35;0;2
86.14;0;1
87.6;0;1
88.81;0;1
90.23;0;1
91.31;0;2
92.4;0;1
93.48;0;1
94.73;0;3
95.73;0;1
96.99;0;1
98.24;0;2
99.65;0;1
100.74;0;1
102.16;0;1
103.25;0;1
105.62;0;1
107.81;0;1
109.2;0;1
113.36;0;1
114.45;0;1
115.87;0;2
116.94;0;2
119.16;0;1
120.39;0;1
121.73;0;2
122.82;0;1
124.2;0;2
125.9;0;1
126.98;0;1
128;0;2
129.41;0;1
130.5;0;1
136.91;0;1
140.17;0;2
141.25;0;1
142.34;0;1
143.92;0;1
144.98;0;1
146.07;0;1
147.4;0;1
148.51;0;2
149.75;0;2
151.13;0;2
152.24;0;1
153.33;0;3
155.37;0;1
159.25;0;1
161.34;0;1
162.83;0;1
164.08;0;2
167.17;0;1
168.18;0;1
169.53;0;1
170.67;0;1
171.97;0;1
173.06;0;2
175.5;0;1
176.8;0;1
177.89;0;1
178.96;0;1
179.96;0;1
182.84;0;1
184.06;0;1
185.59;0;1
186.84;0;1
188.1;0;2
189.17;0;1
190.26;0.01;1
192.29;0;1
193.38;0;1
195.81;0;1
197.07;0;1
199.54;0;1
200.91;0;1
202.15;0;1
203.53;0;1
204.53;0;1
205.53;0;2
206.88;0;1
208.2;0;1
209.3;0;2
211.46;0;1
213.51;0;1
214.54;0;2
216.58;0;1
217.67;0;1
219.38;0;1
220.46;0;1
221.55;0;1
222.74;0;1
223.97;0;2
225.21;0;2
227.47;0;1
229.42;0;1
230.66;0;2
232.06;0;1
233.14;0;1
234.22;0;1
237.56;0;1
239.31;0;1
242.56;0;1
243.69;0;2
244.78;0;1
246.67;0;1
247.85;0;2
249.16;0;1
250.26;0;2
251.37;0;1
252.84;0;1
253.93;0;1
256.21;0;1
257.43;0;1
263.61;0;1
264.62;0;2
265.67;0;1
266.73;0;2
268.34;0;1
269.37;0;1
270.65;0;1
271.83;0;1
272.87;0;1
275.27;0;1
276.32;0;1
277.41;0;2
280.12;0;1
281.21;0;1
283.58;0;2
284.88;0;1
288.63;0;1
289.76;0;1
290.77;0;1
293.23;0;1
294.8;0;2
295.89;0;1
297.06;0;1
298.07;0;1
299.18;0;1
301.75;0;1
302.84;0;1
303.84;0;2
304.88;0;1
305.91;0;2
306.95;0;3
308.82;0;1
310;0;1
314.5;0;1
315.66;0;1
316.91;0;1
318.05;0;2
319.3;0;1
320.48;0;1
321.71;0;1
323.04;0;1
325.86;0;1
327.07;0;2
328.08;0;2
331.24;0;1
333.63;0;1
336.2;0;1
337.5;0;1
