#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;36.86;0.11;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.94;38;0.31;PP/0.04,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
119.98;38.46;0.35;PP/0.05,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
179.96;38.49;0.39;PP/0.06,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
239.98;38.62;0.43;PP/0.07,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
299.94;38.63;0.46;PP/0.08,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.66;38.78;0.5;PP/0.09,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.98;38.78;0.52;PP/0.1,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
479.68;39;0.56;PP/0.11,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
539.7;39.01;0.58;PP/0.11,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
599.82;38.84;0.62;PP/0.12,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
659.71;38.84;0.65;PP/0.14,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
719.97;39.02;0.69;PP/0.15,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
779.97;39.11;0.72;PP/0.16,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
839.8;39.25;0.75;PP/0.17,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
899.78;39.48;0.78;PP/0.18,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
959.89;39.08;0.81;PP/0.18,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1019.68;39.08;0.85;PP/0.19,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1079.65;39.08;0.88;PP/0.2,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1139.99;39.27;0.91;PP/0.21,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1199.76;39.52;0.94;PP/0.22,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1259.95;39.52;0.97;PP/0.23,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1319.94;39.68;1;PP/0.24,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1379.84;39.95;1.04;PP/0.25,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1439.81;39.25;1.07;PP/0.26,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1499.82;39.25;1.11;PP/0.27,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1559.89;39.25;1.14;PP/0.28,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1619.7;39.38;1.17;PP/0.29,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1679.95;39.62;1.2;PP/0.3,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1739.71;39.62;1.24;PP/0.31,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1800;39.34;1.27;PP/0.32,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1859.96;39.34;1.31;PP/0.33,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1919.88;39.46;1.34;PP/0.33,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1979.93;39.55;1.37;PP/0.34,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2039.78;39.44;1.4;PP/0.35,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2099.77;39.44;1.43;PP/0.36,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2159.87;39.44;1.46;PP/0.36,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2219.97;39.64;1.5;PP/0.38,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2279.99;39.87;1.55;PP/0.39,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2339.92;40.01;1.59;PP/0.4,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2399.98;40.01;1.62;PP/0.41,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2459.9;39.62;1.65;PP/0.42,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2519.83;39.62;1.69;PP/0.42,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2579.99;39.62;1.72;PP/0.43,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2639.91;39.82;1.75;PP/0.44,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2699.77;39.68;1.78;PP/0.45,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2759.74;39.68;1.81;PP/0.46,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2819.84;39.69;1.85;PP/0.47,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2879.87;39.86;1.88;PP/0.48,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2939.94;39.86;1.91;PP/0.48,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2999.72;40.02;1.94;PP/0.49,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3059.8;39.92;1.98;PP/0.51,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3119.85;39.92;2.02;PP/0.52,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3179.8;39.92;2.05;PP/0.53,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3239.83;39.92;2.08;PP/0.54,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3299.99;39.94;2.12;PP/0.54,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3359.95;39.94;2.14;PP/0.55,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3419.61;39.94;2.17;PP/0.56,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3479.94;39.94;2.21;PP/0.57,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3539.83;39.94;2.23;PP/0.58,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3599.82;40.07;2.27;PP/0.58,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3659.98;40.24;2.3;PP/0.6,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3719.97;40.27;2.34;PP/0.6,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3779.72;40.44;2.37;PP/0.61,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3839.97;40.07;2.39;PP/0.62,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3899.99;40.07;2.42;PP/0.62,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3959.85;40.07;2.45;PP/0.63,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
4019.92;40.26;2.48;PP/0.64,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
4079.96;40.4;2.52;PP/0.65,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
4139.61;40.61;2.55;PP/0.66,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
4199.95;40.15;2.58;PP/0.67,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4259.98;40.15;2.61;PP/0.68,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4319.92;40.15;2.64;PP/0.69,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4379.84;40.34;2.67;PP/0.7,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4439.8;40.34;2.7;PP/0.71,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4499.87;40.48;2.72;PP/0.72,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4559.92;40.27;2.75;PP/0.72,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4619.76;40.27;2.78;PP/0.73,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4679.88;40.27;2.81;PP/0.74,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4739.61;40.3;2.84;PP/0.75,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4799.95;40.3;2.87;PP/0.76,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4859.86;40.38;2.9;PP/0.77,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4919.7;40.38;2.94;PP/0.77,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
4979.96;40.44;2.97;PP/0.78,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5039.7;40.44;3;PP/0.79,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5099.82;40.44;3.03;PP/0.8,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5159.8;40.63;3.06;PP/0.81,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5219.76;40.89;3.1;PP/0.82,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5279.86;40.89;3.12;PP/0.82,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5339.68;41.05;3.16;PP/0.83,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5399.82;40.52;3.19;PP/0.84,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5459.82;40.53;3.23;PP/0.86,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5519.88;40.53;3.26;PP/0.87,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5579.67;40.68;3.3;PP/0.88,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5639.65;40.84;3.33;PP/0.89,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5699.73;40.7;3.36;PP/0.91,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5759.87;40.7;3.4;PP/0.92,TA/0.16,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5819.87;40.7;3.43;PP/0.93,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5879.59;40.85;3.46;PP/0.94,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5939.66;40.98;3.49;PP/0.95,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
5999.89;40.98;3.52;PP/0.96,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6059.99;40.72;3.55;PP/0.97,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6119.97;40.73;3.58;PP/0.97,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6179.6;40.73;3.63;PP/0.98,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6239.65;40.74;3.67;PP/0.99,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6299.7;40.74;3.7;PP/1,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6359.98;40.74;3.73;PP/1.01,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6419.83;40.74;3.76;PP/1.02,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6479.61;40.8;3.79;PP/1.03,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6539.94;40.87;3.82;PP/1.04,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6599.8;40.87;3.85;PP/1.05,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6659.66;41.01;3.88;PP/1.06,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6720;41.19;3.91;PP/1.07,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6779.95;41.19;3.94;PP/1.08,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6839.63;41.42;3.97;PP/1.09,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6899.7;40.97;4;PP/1.1,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
6959.9;40.97;4.04;PP/1.11,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
7019.95;40.97;4.07;PP/1.11,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
7079.95;41.18;4.1;PP/1.12,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
7139.65;41.37;4.13;PP/1.13,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
7199.83;41.37;4.16;PP/1.14,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
