#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.94;0;0;0;2;0/59.94;0/59.94,1/59.94;0/0;0/59.94,1/59.94;0/0;0/13,1/0;0/0;0/15,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.98;0;2;0;2;0/119.98;0/93.78,1/119.98;0/0;0/119.98,1/119.98;0/0;0/31,1/0;0/0;0/34,1/0;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/3,1/0
179.96;0;5;0;2;0/179.96;0/121.71,1/179.96;0/0;0/179.96,1/179.96;0/0;0/35,1/0;0/0;0/39,1/0;0/0;0/0,1/0;0/0;0/5,1/0;0/0;0/6,1/0
239.98;0;9;0;2;0/239.98;0/142.37,1/239.98;0/0;0/239.98,1/239.98;0/0;0/39,1/16;0/0;0/41,1/16;0/0;0/0,1/0;0/0;0/9,1/0;0/0;0/10,1/0
299.94;0;11;0;2;0/299.94;0/182.85,1/299.94;0/0;0/299.94,1/299.94;0/0;0/37,1/25;0/0;0/39,1/25;0/0;0/0,1/0;0/0;0/11,1/0;0/0;0/12,1/0
359.66;0;13;0;2;0/359.66;0/222.91,1/349.89;0/0;0/359.66,1/359.66;0/0;0/37,1/36;0/0;0/37,1/39;0/0;0/0,1/0;0/0;0/13,1/0;0/0;0/14,1/1
419.98;0;17;0;2;0/419.98;0/273.27,1/380.67;0/0;0/419.98,1/419.98;0/0;0/35,1/40;0/0;0/36,1/42;0/0;0/0,1/0;0/0;0/14,1/3;0/0;0/15,1/4
479.68;0;20;0;2;0/479.68;0/323.01,1/420.41;0/0;0/479.68,1/479.68;0/0;0/33,1/36;0/0;0/35,1/40;0/0;0/0,1/0;0/0;0/15,1/5;0/0;0/16,1/6
539.7;0;25;0;2;0/539.7;0/363.47,1/452.57;0/0;0/539.7,1/539.7;0/0;0/36,1/42;0/0;0/36,1/43;0/0;0/0,1/0;0/0;0/17,1/8;0/0;0/18,1/9
599.82;0;26;0;2;0/599.82;0/423.58,1/500.92;0/0;0/599.82,1/599.82;0/0;0/33,1/43;0/0;0/36,1/45;0/0;0/0,1/0;0/0;0/17,1/9;0/0;0/18,1/10
659.71;0;31;0;2;0/659.71;0/460.24,1/540.95;0/0;0/659.71,1/659.71;0/0;0/33,1/43;0/0;0/33,1/43;0/0;0/0,1/0;0/0;0/20,1/11;0/0;0/21,1/12
719.97;0;31;0;2;0/719.97;0/514.2,1/601.21;0/0;0/719.97,1/719.97;0/0;0/33,1/43;0/0;0/35,1/43;0/0;0/0,1/0;0/0;0/20,1/11;0/0;0/21,1/12
779.97;0;33;0;2;0/779.97;0/554.73,1/661.21;0/0;0/779.97,1/779.97;0/0;0/31,1/42;0/0;0/33,1/43;0/0;0/0,1/0;0/0;0/22,1/11;0/0;0/23,1/12
839.8;0;36;0;2;0/839.8;0/594.82,1/711.08;0/0;0/839.8,1/839.8;0/0;0/30,1/41;0/0;0/31,1/42;0/0;0/0,1/0;0/0;0/24,1/12;0/0;0/25,1/13
899.78;0;38;0;2;0/899.78;0/642.95,1/771.07;0/0;0/899.78,1/899.78;0/0;0/29,1/41;0/0;0/29,1/42;0/0;0/0,1/0;0/0;0/26,1/12;0/0;0/27,1/13
959.89;0;40;0;2;0/959.89;0/685.84,1/821.4;0/0;0/959.89,1/959.89;0/0;0/27,1/39;0/0;0/28,1/41;0/0;0/0,1/0;0/0;0/27,1/13;0/0;0/28,1/14
1019.68;0;44;0;2;0/1019.68;0/725.99,1/861.81;0/0;0/1019.68,1/1019.68;0/0;0/28,1/43;0/0;0/29,1/43;0/0;0/0,1/0;0/0;0/29,1/15;0/0;0/30,1/16
1079.65;0;45;0;2;0/1079.65;0/776.34,1/921.78;0/0;0/1079.65,1/1079.65;0/0;0/29,1/42;0/0;0/31,1/43;0/0;0/0,1/0;0/0;0/30,1/15;0/0;0/31,1/16
1139.99;0;48;0;2;0/1139.99;0/816.86,1/972.23;0/0;0/1139.99,1/1139.99;0/0;0/33,1/45;0/0;0/35,1/45;0/0;0/0,1/0;0/0;0/32,1/16;0/0;0/33,1/17
1199.76;0;50;0;2;0/1199.76;0/856.9,1/1032;0/0;0/1199.76,1/1199.76;0/0;0/35,1/44;0/0;0/37,1/45;0/0;0/0,1/0;0/0;0/34,1/16;0/0;0/35,1/17
1259.95;0;53;0;2;0/1259.95;0/897.58,1/1082.34;0/0;0/1259.95,1/1259.95;0/0;0/33,1/42;0/0;0/35,1/44;0/0;0/0,1/0;0/0;0/36,1/17;0/0;0/37,1/18
1319.94;0;57;0;2;0/1319.94;0/937.64,1/1122.52;0/0;0/1319.94,1/1319.94;0/0;0/38,1/46;0/0;0/39,1/48;0/0;0/0,1/0;0/0;0/38,1/19;0/0;0/39,1/20
