% time distance
59.94 233.37
119.98 238.06
179.96 300.39
239.98 294.33
299.94 276.73
359.66 289.15
419.98 292.99
479.68 269.28
539.7 311.8
599.82 264.28
659.71 300.84
719.97 260.61
779.97 259.39
839.8 260.68
899.78 289.45
959.89 272.7
1019.68 283.81
1079.65 250.97
1139.99 265.14
1199.76 282.76
1259.95 248.54
1319.94 276.65
1379.84 285.19
1439.81 299.46
1499.82 282.94
1559.89 238.63
1619.7 271.1
1679.95 263.14
1739.71 258.02
1800 305.56
1859.96 283.97
1919.88 288
1979.93 279.69
2039.78 294.32
2099.77 275.31
2159.87 308.1
2219.97 246.09
2279.99 251.73
2339.92 279.32
2399.98 276.7
2459.9 284.31
2519.83 275.69
2579.99 325.26
2639.91 263.33
2699.77 260.89
2759.74 297.32
2819.84 257.06
2879.87 258.51
2939.94 287.94
2999.72 305.2
3059.8 286.47
3119.85 319.42
3179.8 298.04
3239.83 304.22
3299.99 285.56
3359.95 311.74
3419.61 271.76
3479.94 277.93
3539.83 271.15
3599.82 279.34
3659.98 231.52
3719.97 286.12
3779.72 259.77
3839.97 271
3899.99 256.31
3959.85 252.8
4019.92 225.6
4079.96 288.08
4139.61 237.9
4199.95 225.7
4259.98 254.4
4319.92 275.86
4379.84 267.44
4439.8 250.5
4499.87 298.47
4559.92 297.26
4619.76 227.37
4679.88 312.15
4739.61 244.56
4799.95 274.61
4859.86 250.08
4919.7 261.81
4979.96 298.12
5039.7 261.63
5099.82 227.47
5159.8 253.14
5219.76 231.28
5279.86 280.51
5339.68 280.8
5399.82 289.81
5459.82 263.21
5519.88 301.03
5579.67 282.18
5639.65 269.04
5699.73 276.61
5759.87 286.13
5819.87 276.05
5879.59 260.05
5939.66 273.65
5999.89 285.4
6059.99 258.05
6119.97 309.19
6179.6 297.98
6239.65 271.7
6299.7 266.16
6359.98 303.01
6419.83 251.64
6479.61 254.76
6539.94 257.25
6599.8 260.68
6659.66 253.71
6720 302.8
6779.95 276.38
6839.63 298.68
6899.7 267.27
6959.9 288.37
7019.95 312.65
7079.95 309.84
7139.65 295.99
7199.83 282.69
