#TimeStamp,TripTime,Type
54,17,O
68,34,O
106,25,O
130,36,O
154,33,O
158,44,O
177,37,O
194,30,O
201,43,O
212,27,O
260,60,O
273,24,O
295,31,O
300,36,O
340,22,O
362,20,O
370,53,O
391,33,O
403,19,O
416,22,O
422,27,O
439,29,O
486,24,O
504,26,O
506,33,O
512,33,O
523,32,O
534,44,O
602,31,O
619,13,O
631,29,O
633,32,O
650,69,O
723,25,O
739,29,O
804,26,O
814,53,O
822,25,O
873,32,O
892,22,O
899,40,O
938,20,O
966,28,O
975,30,O
996,32,O
998,15,O
1056,23,O
1074,28,O
1115,29,O
1116,31,O
1153,38,O
1165,36,O
1196,21,O
1210,31,O
1243,55,O
1257,21,O
1263,21,O
1281,25,O
1288,34,O
1338,23,O
1350,31,O
1359,29,O
1369,31,O
1407,13,O
1433,28,O
1461,38,O
1494,21,O
1544,26,O
1549,37,O
1589,21,O
1611,28,O
1634,30,O
1664,13,O
1685,20,O
1728,15,O
1728,18,O
1751,28,O
1759,40,O
1769,24,O
1824,39,O
1852,32,O
1877,39,O
1899,22,O
1901,36,O
1909,28,O
1924,22,O
1958,24,O
1982,24,O
1998,29,O
2011,28,O
2035,25,O
2073,40,O
2107,34,O
2117,43,O
2118,39,O
2152,45,O
2159,28,O
2214,40,O
2226,41,O
2238,24,O
2246,28,O
2288,16,O
2298,28,O
2317,30,O
2329,37,O
2330,22,O
2333,38,O
2370,34,O
2384,15,O
2395,17,O
2434,27,O
2437,31,O
2459,21,O
2469,28,O
2475,45,O
2531,44,O
2539,36,O
2573,22,O
2581,31,O
2624,35,O
2630,32,O
2684,18,O
2704,27,O
2725,25,O
2728,22,O
2763,18,O
2771,12,O
2794,14,O
2810,24,O
2827,25,O
2872,34,O
2872,27,O
2878,20,O
2901,17,O
2923,22,O
2947,25,O
2952,26,O
2957,34,O
2971,43,O
2989,34,O
3032,25,O
3048,38,O
3059,36,O
3059,32,O
3076,57,O
3099,35,O
3125,33,O
3138,14,O
3144,24,O
3162,39,O
3181,24,O
3199,49,O
3208,24,O
3215,33,O
3220,28,O
3239,17,O
3264,23,O
3287,31,O
3301,33,O
3310,12,O
3352,22,O
3359,44,O
3388,24,O
3393,37,O
3404,39,O
3423,27,O
3446,16,O
3476,21,O
3478,31,O
3520,18,O
3523,36,O
3550,19,O
3561,27,O
3581,24,O
3604,26,O
3652,24,O
3691,36,O
3704,33,O
3779,22,O
3797,34,O
3820,32,O
3837,35,O
3914,33,O
3958,18,O
4008,24,O
4017,22,O
4063,12,O
4064,33,O
4076,20,O
4107,30,O
4171,10,O
4182,17,O
4187,30,O
4193,29,O
4245,26,O
4267,29,O
4286,19,O
4290,14,O
4311,45,O
4324,14,O
4360,36,O
4374,19,O
4377,29,O
4400,41,O
4403,38,O
4451,28,O
4468,32,O
4471,21,O
4474,31,O
4492,30,O
4543,25,O
4554,29,O
4557,33,O
4639,29,O
4640,30,O
4641,32,O
4737,22,O
4738,22,O
4747,29,O
4782,25,O
4804,22,O
4851,29,O
4877,23,O
4900,19,O
4907,52,O
4939,26,O
4963,24,O
4986,22,O
5030,22,O
5044,40,O
5125,24,O
5168,46,O
5175,17,O
5212,29,O
5252,16,O
5259,31,O
5277,36,O
5333,27,O
5340,29,O
5363,50,O
5379,31,O
5396,35,O
5406,23,O
5440,41,O
5452,19,O
5466,25,O
5483,23,O
5509,35,O
5527,22,O
5539,36,O
5586,22,O
5604,30,O
5625,36,O
5684,35,O
5708,14,O
5717,13,O
5755,28,O
5769,31,O
5775,19,O
5803,34,O
5839,22,O
5840,26,O
5852,34,O
5872,33,O
5874,15,O
5911,13,O
5927,36,O
5958,43,O
5960,25,O
5975,13,O
6002,22,O
6033,28,O
6057,27,O
6078,27,O
6083,29,O
6119,30,O
6136,24,O
6155,30,O
6167,39,O
6196,22,O
6203,19,O
6220,42,O
6252,37,O
6258,32,O
6299,28,O
6318,64,O
6323,28,O
6356,31,O
6363,33,O
6368,74,O
6375,12,O
6389,15,O
6448,40,O
6456,20,O
6499,40,O
6525,24,O
6553,27,O
6585,24,O
6587,22,O
6596,21,O
6611,22,O
6650,30,O
6667,38,O
6715,34,O
6716,26,O
6747,19,O
6774,21,O
6810,36,O
6835,37,O
6853,54,O
6876,45,O
6892,14,O
6925,28,O
6964,36,O
6972,7,O
6984,25,O
6995,40,O
7007,32,O
7054,30,O
7059,21,O
7078,29,O
7081,31,O
7105,37,O
7140,29,O
7145,19,O
7152,30,O
7184,54,O
7195,26,O
